cluster	count
í	54238
à	45285
n	44286
k	42515
a	40588
s	40553
á	40212
t	37193
ɛ́	31939
ŋ	29940
b	29379
w	24412
é	24360
y	23526
ó	22012
i	19785
r	19742
è	17986
ú	17663
ɛ̀	17609
ò	17333
ɖ	17193
g	15782
f	13999
m	13979
ɔ̀	13719
z	13216
d	13147
l	13092
ì	12827
ɔ́	12246
e	11561
o	10511
ɛ	10337
p	10097
ɔ	9258
u	8843
ń	8104
ù	7251
ã̀	6976
ǹ	5638
ɛ̃̀	2043
ã́	2007
ɔ̃̀	1300
ɛ̃	1082
ã	948
ũ	925
ĩ	834
ṹ	833
ɔ̃	776
ɛ̃́	769
h	700
ɔ̃́	646
ũ̀	251
ĩ́	201
0	183
1	30
2	29
ĩ̀	24
4	21
5	14
3	7
6	7
7	7
ŋ̀	4
ḿ	2
