cluster	count	casing patterns
a	356525	
u	338260	
e	332904	
n	225547	
o	201524	
i	186452	
h	157421	
k	147532	
b	141021	
ẹ	135803	
ụ	135230	
l	120089	
y	116624	
r	106848	
p	105813	
ọ	100106	
m	95823	
d	94364	
t	82800	
g	79822	
w	75774	
s	69976	
j	67414	
z	34000	
f	28968	
c	24216	
ị	20201	
v	9202	
í	7072	
á	6251	
é	5513	
ó	3184	
ú	2809	
à	1395	
ẹ́	1285	
è	970	
ụ̀	602	only_lower
ù	503	
ò	464	
ọ́	462	
ì	325	
ọ̀	144	
ị́	122	
ẹ̀	113	
m̀	76	
ụ́	26	only_lower
ǹ	19	only_lower
ị̀	12	only_lower
6	3	
ń	2	only_lower
1	1	
ḿ	1	only_lower
