cluster	count	casing patterns
n	114598	
e	83806	
i	75833	
a	63336	
r	49084	
e̱	40378	
w	38420	
h	37235	
g	36276	
y	29596	
u	28108	
b	26037	
k	22698	
s	19599	
o	15294	
m	13258	
z	12313	
c	10988	
t	9389	
d	7520	
j	6450	
é	5312	
á	3511	
l	3398	
p	2520	
í	2454	only_lower
ꞌ	1306	only_lower
v	1082	
f	1047	
é̱	699	only_lower
ó	684	only_lower
î	381	only_lower
ê	257	only_lower
â	228	only_lower
è	209	only_lower
ú	203	only_lower
ā	71	only_lower
ē	54	only_lower
0	51	
1	25	
2	17	
ē̱	12	only_lower
4	10	
ī	9	only_lower
3	5	
6	3	
7	2	
