cluster	count	casing patterns
a	377552	
u	342248	
e	307771	
n	217786	
i	199007	
o	197983	
h	174220	
ụ	147771	
b	145035	
p	143601	
k	137517	
ẹ	132845	
l	113144	
ọ	112462	
r	111151	
m	109072	
y	101994	
d	93939	
g	93336	
w	86133	
s	67871	
t	67157	
j	47752	
z	39078	
c	31480	
f	30076	
ị	23877	
v	8492	
ú	4401	
í	3956	
é	3724	
ó	2722	
á	1926	
ù	1664	
à	652	
ụ̀	536	
ì	491	
ọ̀	465	
ọ́	445	
è	257	
ẹ́	125	
ǹ	105	
ò	57	
ụ́	55	
m̀	46	
ẹ̀	22	
ń	5	only_lower
ị̀	4	only_lower
6	3	
ị́	2	only_lower
ḿ	1	only_lower
