cluster	count	casing patterns
n	114027	
i	86689	
a	80992	
g	60600	
à	56384	
r	49340	
b	46376	
m	41021	
s	39568	
u	39308	
k	35605	
y	35182	
á	33989	only_lower
ì	33099	only_lower
w	24888	
í	20362	only_lower
h	20144	
d	17494	
p	13592	
j	10031	
z	9312	
t	7509	
f	6899	
ù	5098	only_lower
o	4259	
l	3284	
e	2876	
ò	1675	only_lower
ú	1652	only_lower
ǹ	1456	only_lower
v	1350	
ó	1181	only_lower
ń	765	only_lower
0	59	
ḿ	46	only_lower
1	33	
2	18	
4	12	
è	12	only_lower
3	8	
6	8	
5	5	
7	2	
é	2	only_lower
8	1	
9	1	
c	1	only_lower
