cluster	count	casing patterns
a	562251	
i	325774	
n	268450	
u	264772	
t	236927	
r	172577	
k	165681	
m	161683	
s	153962	
e	88580	
h	88101	
j	75435	
y	59870	
w	51807	
á	49075	
p	47599	
c	45748	
i̱	41550	
ṉ	35062	
ú	30831	
í	30068	
a̱	24398	
é	13333	
e̱	6420	
í̱	5906	only_lower
á̱	4141	
u̱	3693	
ú̱	1167	
1	1034	
2	676	
é̱	526	only_lower
0	360	
3	352	
4	323	
ⁱ	317	only_lower
5	297	
6	259	
7	211	
9	207	
8	177	
ᵏ	73	only_lower
ᵘ	13	only_lower
d	4	
l	4	
f	3	only_lower
o	2	only_lower
b	1	only_upper
g	1	only_upper
v	1	only_upper
z	1	only_upper
ᵉ	1	only_lower
