cluster	count	casing patterns
n	9200	
a̱	7072	
i	5423	
t	4854	
a	4508	
k	4084	
ꞌ	3627	only_lower
á	3449	
u	2692	
í	2528	
ñ	2391	
x	2205	
s	2190	
ú	2135	only_lower
i̱	1726	
r	1506	
u̱	1422	
o	1349	
v	1300	
c	1030	
y	990	
h	962	
e	906	
ó	863	only_lower
m	489	
j	414	
é	272	
l	250	
o̱	216	only_lower
ö	140	only_lower
d	130	
e̱	123	only_lower
p	99	
ä	88	only_lower
ü	63	
ǔ	55	only_lower
1	45	
g	45	
b	43	
f	26	
ï	22	only_lower
ê	20	only_lower
2	19	
4	19	
ǐ	18	only_lower
ě	17	only_lower
ǎ	16	only_lower
û	14	only_lower
3	12	
5	12	
z	11	
ǒ	10	only_lower
â	9	only_lower
0	8	
9	8	
6	7	
î	4	only_lower
8	3	
ô	3	only_lower
7	2	
