cluster	count	casing patterns
a	420089	
n	418942	
i	374610	
ơ	371362	
h	332754	
g	277488	
l	157294	
u	155154	
k	153583	
t	138950	
ă	129532	
p	129068	
m	128880	
r	114065	
o	81775	
ƀ	81585	
d	77262	
ŭ	62064	
b	61411	
y	59902	
â	48073	
s	46769	
j	45940	
ô	44641	
ĭ	44219	
ñ	42745	
ơ̆	40311	only_lower
ŏ	40072	
e	38324	
č	32949	
đ	20584	
w	16306	
ĕ	12354	only_lower
ư	9916	
ê	8638	
ư̆	4564	
a̱	3669	
z	2525	
ă̱	2495	only_lower
o̱	1864	only_lower
e̱	1355	only_lower
ʼ	1069	
i̱	714	only_lower
u̱	590	only_lower
ô̆	535	only_lower
ŭ̱	457	only_lower
ŏ̱	444	only_lower
ê̆	370	only_lower
ơ̱	268	only_lower
ư̱	244	only_lower
ô̱̆	115	only_lower
1	76	
ĭ̱	76	only_lower
2	45	
ô̱	41	only_lower
5	32	
3	31	
0	29	
ê̱	28	only_lower
4	24	
8	19	
6	17	
7	9	
9	4	
c	3	only_lower
ĕ̱	1	only_lower
f	1	only_lower
ư̱̆	1	only_lower
	1	
