cluster	count	casing patterns
យ	11425	
ន	10035	
ង	8576	
ម៍	8197	
វ	7633	
គ	7556	
ញូ	6659	
ម	6061	
ត	5271	
នុ	5104	
ហ្	5079	
ល	4732	
ក	4252	
ព	4035	
ឝ	3973	
មឹ	3706	
ង់	3483	
ណា	3313	
ប់	3186	
អ៊ិះ	3059	
លើ	3004	
រើ	2966	
ប	2963	
ឋ	2871	
អ្	2767	
ឞ៊្	2452	
វា	2450	
យា	2144	
ទី	2128	
ស	2009	
គ្	1879	
ហ៍	1755	
រ	1720	
ឆ្	1707	
ឞ្	1703	
ក្	1694	
អា	1669	
ឝ្	1581	
សា	1555	
ង៉ៈ	1432	
ឋា	1432	
ឡៃ	1407	
ពើ	1393	
ឞ	1366	
អ៊ើ	1350	
យេ	1303	
ហា	1267	
ន់	1242	
យ៉ា	1240	
ព្	1213	
ឋៃ	1110	
នែ	1107	
តា	1057	
ច្	1045	
វ៉	1028	
ឋ្	1025	
រ៉ាំ	1022	
ឞ៊ិ	991	
នូ	973	
ហ៊្	967	
ត់	949	
ងំ	939	
ល៉ៃ	936	
គ់	933	
លា	880	
អុះ	869	
យ៉ឹះ	868	
យ៉្	865	
ទើ	835	
ប៉្	820	
ឞា	819	
រ៉ៃ	799	
មើ	792	
តាំ	757	
ឌី	742	
រា	741	
វៈ	728	
វ៉ា	712	
ដះ	706	
ស៊ែ	706	
ច	663	
ថ	640	
ម៉ា	636	
ឞ៊ិះ	633	
ស៊ូ	633	
យាំ	631	
ហូ	610	
សេ	596	
ខ្	594	
បុះ	585	
យៈ	582	
ផា	581	
អេ	569	
ល់	564	
ទុ	560	
អ៊្	545	
ងា	516	
ប៉ះ	514	
រ៉ៈ	514	
និ	513	
ឡា	513	
គើ	503	
ម៉ូ	494	
អ៊ី	489	
ទ	487	
ទ្	484	
អ៊ែ	476	
លៃ	469	
ដា	463	
សុ	452	
យ៉ូ	451	
ឍើ	447	
វិ	443	
រ៉	441	
ឌើ	431	
នះ	430	
ឝ៉ះ	427	
យឹ	416	
ជិ	408	
កា	397	
មិ	394	
ត្	384	
ស្	381	
ប៉ា	374	
ឡ	371	
រ៉ា	369	
រូ	368	
ឆា	367	
ងឹ	365	
យៃ	365	
លី	353	
រោះ	344	
ឝ៉	334	
ហ	329	
ចា	328	
យ៉ិ	324	
លុ	321	
ប៉ូ	318	
ឆឹ	304	
ស៊ី	302	
ហ៊ែ	302	
យ៉	298	
ណ	297	
លែ	297	
ឞោះ	294	
ឞ៊ុ	293	
ឈិ	291	
រិ	290	
ដ្	284	
ញា	283	
នាំ	281	
រី	271	
កុ	264	
ប៉ៈ	257	
ង៉ា	248	
ខា	244	
មុ	244	
យូ	238	
ម៉្	237	
ក់	236	
ឡិ	226	
បា	223	
ៗ	217	
រុ	214	
ឝ៉ា	212	
ឍិ	208	
ធុ	202	
វៃ	199	
ភុ	196	
ណ្	190	
ឡាំ	189	
លុះ	187	
ម៉ៈ	186	
ប៉	185	
នៃ	183	
ម៉	183	
ឆិ	182	
ងាំ	181	
វេះ	179	
ឍ្	171	
ទិះ	168	
វ៉ៃ	165	
តៈ	155	
ពេ	155	
លោះ	154	
ភូ	153	
ហេ	149	
ង៉	147	
យិ	147	
នី	142	
នេ	142	
រិះ	141	
ឞ៊ែ	136	
នា	135	
ថា	134	
នុំ	132	
ហាំ	132	
ល៉ា	131	
សូ	131	
បេ	127	
ឍិះ	125	
មាំ	124	
រុះ	124	
ប្	123	
ឃុ	122	
តុ	122	
ឈុះ	121	
អូ	120	
ឍី	119	
យ្	119	
លះ	117	
កំ	113	
ហិ	112	
ឝ៉្	110	
ម្	109	
ឝូ	109	
ញ	106	
វី	106	
លេ	102	
ត៝	100	
ឞះ	99	
សៈ	99	
កៈ	97	
ជែ	97	
លិ	97	
ប៉ាំ	96	
ដ	93	
ន៉ាំ	93	
តៃ	92	
រេ	91	
ឃឹ	90	
ឝិះ	90	
រៈ	87	
មី	85	
ផ	84	
ឝ៉ោះ	84	
តះ	83	
ឆ	82	
រ៉ុ	81	
ឋាំ	80	
ល៉ាំ	79	
ឍុ	78	
រ៉ូ	78	
មា	76	
អ	75	
អះ	74	
ពី	73	
លៀ	73	
វះ	72	
ឆៃ	69	
ឝើ	69	
យុ	68	
រះ	68	
ញុំ	67	
ញ់	66	
នៈ	66	
ហ៊ូ	63	
ញាំ	62	
ទុំ	62	
ផ្	61	
ភី	60	
ឝ៉ាំ	60	
ជិះ	59	
រែ	59	
វ៉ិ	58	
1	57	
គី	57	
ទែ	57	
លាំ	57	
កូ	56	
ណះ	56	
0	55	
ណូ	55	
ស៊ិ	55	
ឈ្	54	
បះ	54	
លិះ	54	
វ៉ៈ	53	
បូ	52	
ភេ	52	
ញ៉ា	51	
ប៊ើ	50	
ឈែ	49	
ប៉ិ	49	
3	48	
ល៉	48	
ឞ៊ុះ	48	
អៃ	48	
តេះ	47	
ប៊ី	46	
សោះ	46	
ចិ	43	
ឡ្	43	
ងិ	42	
ញ៉ៈ	42	
ឝ៉ៃ	42	
ឡះ	41	
ខំ	40	
ចាំ	40	
ញុ	40	
ទិ	40	
លំ	40	
សិ	40	
វេ	39	
លួ	38	
ឡូ	38	
អិ	38	
ឍូ	37	
ប៊្	37	
ចៈ	36	
ជុះ	36	
ទុះ	36	
2	35	
ឃិ	35	
ឍុះ	35	
យះ	35	
ខៈ	34	
មែ	34	
ឆាំ	33	
ឋេះ	33	
ឝិ	33	
កិ	32	
ឆេះ	32	
ប៉ៃ	32	
លូ	32	
ដូ	31	
ឌិះ	31	
ឍ	31	
ណាំ	31	
ហ៊ី	31	
ឈុំ	30	
នៀ	30	
ឡេ	30	
កេ	29	
ថេ	29	
មេ	29	
តិ	28	
ពិះ	28	
យ៉ោះ	28	
ល៉ិ	28	
5	27	
កៃ	27	
ញី	27	
ដេ	27	
ធី	27	
ពិ	27	
រឹ	27	
ឞេះ	27	
វ៉េះ	26	
ងុ	24	
តោះ	24	
ម៉ិ	24	
យែ	24	
ឞូ	24	
9	23	
គុះ	23	
ទេ	23	
រ៉ោះ	23	
វែ	23	
ង៉ៃ	22	
ដុំ	22	
ឌូ	22	
ឌែ	22	
ទូះ	22	
សេះ	22	
8	21	
គៀ	21	
និះ	21	
គែ	20	
ឃ	20	
ឆះ	20	
ធូ	20	
បិ	20	
ម៉ះ	20	
ស៊ើ	20	
ឋះ	19	
ឌ	19	
យ៉ៈ	19	
ឝី	19	
4	18	
ងះ	18	
ទូ	18	
ភែ	18	
វ៉ាំ	18	
សៀ	18	
6	17	
7	17	
ន៉ា	17	
ភ្	17	
វិះ	17	
ខូ	16	
ញែ	16	
ឌៀ	16	
ណៃ	16	
តំ	16	
ប៊ែ	16	
មៀ	16	
យ៉ុ	16	
ពុ	15	
វ៉ះ	15	
អ៊ូ	15	
គូ	14	
ឈី	14	
ថ្	14	
ពូ	14	
ឞៃ	14	
អាំ	14	
ខ	13	
ចុំ	13	
ដំ	13	
ប៉េ	13	
ល៉ះ	13	
ឝែ	13	
ឝ៉ំ	13	
ឞ៊ូ	13	
ឆោះ	12	
នោះ	12	
បៀ	12	
ង៉ះ	11	
ឈើ	11	
ម៉ៃ	11	
យុះ	11	
រេះ	11	
ល៝	11	
ស៊ុ	11	
ឡំ	11	
អំ	11	
ងោះ	10	
ជើ	10	
ញិ	10	
ឋឹ	10	
ណុ	10	
មូ	10	
រៀ	10	
លេះ	10	
ឞៈ	10	
កះ	9	
ចេះ	9	
ជៀ	9	
ធ	9	
នើ	9	
សៃ	9	
អ៊ុ	9	
អ៊ុះ	9	
កុំ	8	
កួ	8	
ចះ	8	
ធែ	8	
ឞេ	8	
ដៃ	7	
ឋៈ	7	
ធឿ	7	
