cluster	count
r	82917
ĩ	68055
n	64822
i	64081
í	59707
á	58937
ã	55000
ꞌ	48413
ú	43152
k	40457
g	38793
d	37727
m	34867
é	34613
b	32588
p	28656
s	24261
t	21005
a	20955
z	20802
v	18561
ũ	18267
y	16735
l	15689
ị́	14936
ẽ	14706
ụ́	14308
ị̃	12645
õ	11482
ị	11480
ó	11045
e	10551
u	10446
ụ̃	9648
o	8532
ẹ́	8167
ụ	7460
j	7076
ộ	6024
c	5410
ẹ̃	3211
f	3183
â	2967
ọ́	2553
ọ̃	2377
ẹ	2076
ŋ	2051
w	1819
î	1547
ọ	879
h	618
ị̂	302
ô	236
0	189
1	84
2	52
3	37
5	31
4	30
9	26
7	23
6	19
8	16
