cluster	count	casing patterns
a	96707	
ɩ	91333	
n	76759	
á	67196	
b	49643	
ɛ	43495	
ɛ́	37635	
s	34257	
w	33460	
ɔ	31925	only_lower
m	31841	
l	30086	
d	28989	
ɩ́	28974	
ɔ́	28457	only_lower
k	26120	
r	25829	
e	23102	
ɖ	21017	
y	21002	
g	20241	
t	19384	
i	17247	
í	16751	
ʊ	15645	only_lower
o	15367	
z	14812	
ʊ́	13971	only_lower
é	11953	
ú	10260	
u	9364	
ŋ	6804	
ń	5757	
v	5674	
f	5669	
j	4558	
ó	3984	
c	3450	
p	2712	
ḿ	2289	only_lower
h	1928	
ÿ	854	only_lower
ŋ́	259	only_lower
0	230	
1	64	
2	47	
5	40	
3	32	
7	27	
4	26	
9	19	
6	18	
8	14	
