cluster	count	casing patterns
ង	36230	
យ	24820	
វ	21180	
ក	20396	
ន	20065	
ត	15234	
ណា	14506	
រ	13478	
កឹ	10920	
ស	10599	
ព្	9924	
រ៉ើ	9674	
រះ	9282	
ក្	9189	
កួ	8715	
ល	8282	
អិ	8001	
ម	7634	
អ	7587	
បេ	6019	
ក់	5986	
សា	5949	
ប៉ា	5929	
ស្	5669	
ចៀ	5165	
កឺ	5029	
ត្	4583	
ម៉ឹ	4434	
ច្	4413	
នា	4272	
រើ	4247	
ចូ	4143	
ច	4060	
ន្	3910	
កើ	3835	
សួ	3811	
ពឺ	3800	
អឺ	3778	
វ័	3719	
សែ	3632	
យេ	3520	
យ៉ាំ	3430	
ប	3394	
ស៊ូ	3319	
បឺ	3297	
ម្	3098	
ប៉	2893	
ហៃ	2806	
ង់	2771	
ត់	2748	
ដា	2720	
ប់	2688	
ទ័	2603	
បា	2563	
មេ	2550	
ចួ	2457	
ប៉្	2406	
ដែ	2368	
រា	2255	
អា	2246	
ទ្	2227	
ម៉ៃ	2150	
អែ	2140	
ម័	2126	
ឡឹ	2117	
លឹ	2113	
ម៉ា	2107	
ណិ	2025	
រៃ	2001	
មូ	1959	
ពេ	1945	
តឹ	1912	
ៗ	1853	
កា	1726	
ជ្	1725	
រុ	1713	
ង្	1709	
រោ	1634	
តេ	1545	
ទេ	1539	
សិ	1525	
រ័	1524	
គ្	1522	
ជា	1470	
ញ្	1456	
ជើ	1447	
តូ	1388	
បើ	1386	
ម៉	1383	
មា	1375	
ចា	1366	
រូ	1309	
រេ	1299	
ឃ្	1261	
ទ	1231	
ដិ	1216	
លោះ	1200	
ពើ	1195	
ប្	1190	
ពា	1185	
រី	1152	
ចែ	1127	
ទោ	1114	
អៀ	1077	
ចិ	1074	
ជោ	1072	
ន់	1069	
ស់	1060	
មោះ	1045	
សេ	1045	
ល់	1038	
ហឺ	1038	
ដ	1030	
១	996	
ណ	953	
ព	945	
ទា	899	
ខ	878	
លា	851	
ច់	838	
ហា	831	
ជំ	826	
វ៉ឺ	816	
លើ	805	
មុ	802	
នាំ	785	
យា	781	
ឡ	776	
លោ	764	
ពូ	728	
ប៉ុ	711	
ងៃ	696	
ប៉ៃ	689	
២	687	
ផ្	686	
ឡា	682	
ទី	680	
រ៍	677	
គឹ	665	
បោះ	664	
វា	616	
នី	604	
ញា	591	
យ៉ូ	591	
សំ	588	
ថា	584	
អូ	577	
វិ	566	
ខា	560	
ជ័	548	
តែ	513	
ផ	510	
គា	501	
ម៉ូ	498	
យូ	498	
ញ់	492	
តា	486	
មី	486	
ឆ្	466	
ងា	454	
ពី	453	
៣	449	
ដុ	443	
អ្	436	
ស៊ី	428	
លី	418	
គ	417	
ន៍	403	
ញ	401	
បុ	397	
នឺ	390	
លូ	387	
អ៊ី	385	
ហូ	377	
ថ្	375	
រិ	364	
ជួ	356	
កែ	355	
បៀ	353	
ប៉ឺ	351	
តាំ	347	
៤	344	
អេ	342	
ខែ	339	
អៃ	339	
អើ	331	
លេ	330	
កុ	324	
រែ	324	
ពោះ	319	
ញោ	302	
ហៀ	301	
រ់	296	
សុ	296	
វ៉ា	292	
កូ	291	
នេ	289	
ខំ	272	
តួ	262	
រ្	255	
ហឹ	253	
តំ	252	
៥	247	
៦	244	
កាំ	243	
យ៉ា	241	
ទិះ	240	
ដឺ	239	
ឆុ	238	
គោ	237	
សោ	234	
ពុ	233	
ម៉្	227	
ពឹ	226	
បែ	225	
បិ	220	
ហ	220	
ចាំ	216	
ជុំ	215	
ជេ	213	
សឹ	213	
ពោ	211	
ផា	209	
ល្	207	
គិ	204	
ជី	204	
សើ	204	
លែ	202	
សោះ	201	
កី	195	
ឌ	195	
ម៉ែ	194	
ដើ	191	
ឡូ	190	
ល័	188	
រាំ	184	
ទូ	181	
៨	180	
រ៉ូ	176	
តី	175	
ចៅ	173	
នំ	173	
ហ្	172	
៩	171	
លាំ	170	
៧	170	
ហាំ	169	
គី	163	
ថែ	162	
០	162	
អំ	160	
នះ	159	
ធ	154	
ពែ	154	
ណែ	152	
ប៉ាំ	144	
ហេ	140	
ខ្	139	
រំ	138	
ដឹ	136	
ចឺ	134	
ដូ	132	
អួ	132	
ង័	131	
មិ	125	
យឹ	125	
រុះ	125	
វេ	124	
ហើ	122	
ទំ	121	
រោះ	121	
បោ	120	
ថេ	119	
ប៉ឹ	117	
ចេះ	114	
ចោះ	114	
ផី	114	
រ៉ា	114	
វី	114	
អ៊ូ	114	
គំ	113	
ភា	112	
គុ	108	
ជ	108	
តៀ	106	
ពៅ	106	
ភី	106	
ជិះ	102	
ធី	102	
ផូ	102	
ឆោ	101	
តុ	101	
ឌី	99	
សៃ	99	
ទឹ	98	
បូ	98	
រៀ	96	
បឹ	95	
កំ	93	
ឆាំ	93	
ឌូ	93	
នូ	93	
កោ	91	
ខូ	91	
យោ	91	
បី	88	
ម៉ើ	85	
ទុំ	81	
ភេ	81	
ឡេ	81	
សូ	80	
ថ	79	
មោ	78	
ហែ	78	
ជូ	75	
បាំ	75	
ហិ	74	
ណោ	73	
ធិ	73	
ឃ	72	
ឡែ	72	
គេ	71	
ប៊ឺ	71	
លះ	71	
កេ	70	
ឡុ	70	
យុ	69	
ចំ	68	
ឡាំ	68	
ថូ	67	
ចោ	66	
ណូ	66	
ទើ	65	
ពាំ	65	
តោះ	64	
នោ	61	
ងៀ	60	
តេះ	58	
នៃ	58	
មើ	58	
លៀ	58	
តើ	57	
រឹ	56	
វឹ	56	
ខោ	54	
ឃឹ	51	
លិ	51	
ប៉ឿ	49	
លៃ	49	
បំ	46	
រ៉ែ	46	
ដាំ	45	
មុះ	45	
អឹ	45	
ដេ	44	
