cluster	count	casing patterns
a	507705	
i	418900	
l	336515	
u	308561	
c	304756	
n	297096	
ꞌ	277647	only_lower
e	255705	
t	172224	
b	154287	
x	146981	
r	133842	
h	131403	
j	121901	
k	120821	
o	116815	
s	99763	
q	94168	
a̱	84795	
m	65776	
y	45877	
e̱	24868	
d	21258	
o̱	16056	
p	15896	
i̱	15015	only_lower
z	13538	
u̱	4413	only_lower
í	4351	only_lower
g	3902	
á	3719	only_lower
é	3697	
ó	3521	only_lower
ú	3141	only_lower
f	3041	
v	2894	
0	936	
1	420	
2	413	
3	271	
5	255	
4	220	
6	213	
7	176	
8	132	
9	113	
ñ	15	only_lower
ü	1	only_lower
