cluster	count	casing patterns
ɛ	93326	
n	77815	
b	69209	
a	61563	
m	57993	
k	50230	
h	37511	
y	36742	
t	30525	
á	29275	
ɔ	27551	
ɛ́	23302	
i	21876	
ŋ	19947	
s	16603	
r	15989	
p	15045	
ɨ	14496	only_lower
c	13836	
d	13557	
u	11858	
o	11588	
w	11075	
ɔ́	10901	
í	8664	
g	7342	
e	6842	
f	5952	
ɨ́	5632	only_lower
ǎ	5477	
ʉ	5362	only_lower
ǔ	4929	only_lower
ó	4703	
ɛ̌	4484	
ú	4082	
l	2433	
ɔ̌	1934	
ǒ	1827	only_lower
ʉ́	1755	only_lower
é	1690	
j	1623	
ɛ̀	1276	only_lower
ɔ̀	1177	only_lower
à	1035	only_lower
ʉ̀	728	only_lower
ɨ̌	487	only_lower
ě	479	only_lower
ò	395	only_lower
ǐ	352	only_lower
ù	264	only_lower
ɨ̀	254	only_lower
ì	148	only_lower
ʉ̌	91	only_lower
è	86	only_lower
0	44	
v	35	only_lower
ń	8	only_lower
2	7	
1	5	
4	5	
6	5	
5	3	
7	2	
3	1	
