cluster	count	casing patterns
క	23029	
చి	14481	
న్	13512	
తి	12969	
ర్	12140	
మ్	11838	
అ	11171	
ల	10749	
జ	10577	
తె	10352	
సు	9741	
న	8981	
కి	8760	
తు	8607	
సి	8590	
ర	8343	
మె	8271	
మ్‍	8088	
జో	7391	
ల్	7388	
కె	7358	
లి	7227	
స్	7153	
లె	7042	
త	6977	
రి	6876	
య్	6732	
దె	5938	
త్	5844	
జా	5785	
చ	5598	
స	5448	
ప	5390	
ద	5181	
వ్	4829	
చ్	4647	
క్	4643	
గ	4568	
ము	4565	
డు	4462	
ప్	4447	
గి	4288	
చొ	4083	
వ	4042	
సొ	3923	
మా	3732	
ట్	3695	
ని	3604	
ది	3590	
నె	3587	
లొ	3579	
సం	3549	
ఎ	3535	
రు	3434	
బు	3406	
దే	3362	
గె	3264	
కు	3195	
డ్	3013	
తొ	2938	
గు	2903	
జి	2830	
నా	2820	
ను	2784	
ఆ	2714	
యే	2706	
ల్‍	2652	
ఉ	2638	
డి	2557	
యి	2548	
వు	2548	
లు	2527	
పు	2464	
మ	2320	
గ్	2319	
దు	2316	
అం	2296	
ద్	2214	
సె	2195	
యిం	2183	
య్‍	2163	
జేఁ	2046	
డ	1962	
ఒ	1958	
ఆఁ	1957	
ట	1761	
కా	1714	
కో	1713	
యె	1675	
వె	1639	
బా	1633	
ఈం	1631	
గే	1630	
మొ	1556	
పా	1537	
దొ	1532	
య	1508	
జె	1473	
రె	1420	
నే	1395	
పె	1385	
పి	1333	
ఇ	1325	
బ్	1291	
బ	1240	
రా	1190	
స్‍	1172	
వి	1140	
లో	1116	
దా	1114	
నెం	1084	
తెం	1001	
న్‍	985	
టు	971	
బె	966	
సే	952	
సూ	948	
తా	940	
పూ	933	
ర్‍	931	
బో	930	
నం	924	
చెం	864	
ఏ	856	
జొ	855	
వా	854	
టి	845	
రీ	777	
సా	763	
యూ	706	
కే	696	
చు	694	
కొ	674	
పొ	635	
యా	613	
జు	593	
జీ	585	
బొ	580	
కీ	571	
రే	565	
మి	555	
వొ	532	
డొ	514	
ఇం	499	
దూ	483	
రో	477	
దీ	475	
మో	466	
యఁ	464	
కం	438	
యు	431	
నొ	421	
సొం	410	
జం	392	
వే	389	
జ్	386	
ఓ	380	
గా	379	
తీ	372	
తే	363	
గొ	355	
తో	347	
చిం	338	
యో	331	
హా	328	
చె	323	
పే	320	
బే	312	
లా	309	
టా	301	
