cluster	count	casing patterns
ನ	24126	
ತ್	18516	
ಕ್	17817	
ಗ	16751	
ಡ	15956	
ಅ	14255	
ಲ್	13921	
ರ	13679	
ವ	13156	
ಪ	12679	
ಕ	10792	
ಯ	10274	
ಎ	9277	
ದ್	9214	
ಮಾ	8686	
ತ	8302	
ಯಿ	8156	
ಪ್	7703	
ಜ	7567	
ಆ	7489	
ಬ	7123	
ನ್	7063	
ನಾ	7010	
ಣ್	6644	
ನೆ	6569	
ಯಿಂ	6471	
ಚಿ	6029	
ತ್‍	5891	
ತ್‌	5826	
ಇ	5709	
ಡ್	5634	
ಡ್‌	5617	
ಕಾ	5561	
ಟ್	5538	
ಳ	5537	
ಲ	5532	
ಮ	5423	
ಡಿ	4965	
ಅಂ	4921	
ರ್	4760	
ಯಂ	4455	
ನಂ	4390	
ವೊ	4374	
ಒ	4296	
ನಿಂ	4272	
ದ	4195	
ದೇ	4114	
ರಿ	3997	
ಳ್	3974	
ತಿ	3972	
ಸ	3969	
ಗಿ	3872	
ದಿ	3775	
ವಾ	3569	
ಣ್‌	3531	
ಕೆ	3523	
ಡ್‍	3410	
ಞ	3355	
ಸು	3315	
ನೀ	3142	
ಪೋ	3118	
ಲೆ	3094	
ಸ್	3059	
ಯೇ	2941	
ಕು	2933	
ಕ್‌	2857	
ಟಿ	2857	
ಯಾ	2838	
ಟ	2799	
ರಾ	2728	
ವಿ	2718	
ಚೇಂ	2700	
ವೊಂ	2700	
ದ್‌	2527	
ಲಾ	2525	
ಪಿಂ	2522	
ಇಂ	2328	
ಉ	2220	
ಣ	2201	
ರ್‌	2168	
ಡೆ	2156	
ಗ್	2144	
ದಾ	2120	
ಕೊ	2088	
ಕೂ	2045	
ಚ	2009	
ಷ್	1957	
ಡು	1907	
ಯು	1907	
ತೆ	1904	
ದ್‍	1850	
ಲ್‌	1850	
ಪಾ	1834	
ತಂ	1792	
ಗುಂ	1747	
ಲಿ	1687	
ಯೆ	1618	
ಪೊ	1606	
ತು	1590	
ವಂ	1574	
ಬಾ	1551	
ಬಂ	1550	
ಪು	1521	
ನು	1460	
ಬ್	1457	
ಣಿ	1439	
ಈ	1379	
ಷ	1376	
ರೆ	1366	
ಕ್‍ೕ	1352	
ಕಂ	1350	
ಬು	1343	
ಬೋ	1317	
ಚ್	1313	
ನೇ	1311	
ಟ್‌	1292	
ತಾ	1288	
ಳಿ	1256	
ಗೊ	1166	
ಉಂ	1158	
ನೋ	1141	
ಮೇ	1124	
ಶಿ	1124	
ನ್‌	1117	
ಚಾ	1115	
ಹ	1111	
ದಂ	1094	
ಬೆ	1093	
ಕ್‍	1089	
ದುಂ	1081	
ಬಿ	1072	
ಶ	1058	
ನಿ	1054	
ತಾಂ	1044	
ಹಾ	1026	
ಳ್‌	1011	
ಗ್‌	1008	
ಜ್	986	
ಳಾ	982	
ತ್ಂ	977	
ಂ	895	
ಮ್	894	
ಯೋ	894	
ಚೆ	889	
ಲೋ	879	
ರು	862	
ದು	852	
ಕಿ	847	
ತುಂ	845	
ಮಿಂ	840	
ಮೆ	832	
ಳ್‍	820	
ಯ್	818	
ಣು	803	
ಸಾ	801	
ಮು	798	
ಗೆ	778	
ಮಿ	757	
ಪೆ	755	
ರೀ	751	
ಜಿ	748	
ರಂ	742	
ಪಿ	732	
ಸೇ	732	
ಏ	710	
ರೋ	707	
ದ್ಂ	702	
ಲು	688	
ಮೂ	682	
ಗು	677	
ಜಾ	677	
ಳು	677	
ಪಂ	675	
ಬೊ	674	
ಎಂ	666	
ಡ್‍ೕಂ	659	
ಡುಂ	642	
ಮಂ	632	
ಡೂಂ	630	
ಡಿಂ	622	
ಕಾಂ	616	
ತೇಂ	608	
ಥ	577	
ಫ	577	
ಕೈ	556	
ಬೂ	543	
ಜೀ	542	
ಮೋಂ	541	
ಣೆ	529	
ಹೂ	526	
ಗೇ	524	
ಬೇ	523	
ರೂ	523	
ಟೆ	519	
ದೂ	516	
ಳೇ	516	
ಪ್‌	513	
ಲೇ	508	
ಡಂ	505	
ಮೋ	503	
ಟಂ	485	
ವು	479	
ಕೋ	469	
ಞು	467	
ಗಾ	458	
ವ್	453	
ವೇ	445	
ಸಿ	419	
