cluster	count	casing patterns
ని	20850	
ఙ్‌	19998	
మ	11966	
జి	11952	
ఇ	11881	
న్	11396	
తి	11122	
రి	11018	
వ	10897	
నా	8734	
రు	8607	
సి	8395	
న్‌	8264	
స్	8224	
ఆ	7416	
వె	7373	
అ	7361	
డ్	7101	
ర్	6961	
ర్‌	6456	
ది	6386	
కి	6346	
తా	6274	
న	6132	
కా	5932	
క	5909	
దె	5862	
లె	5293	
వు	5281	
రె	5161	
నె	4956	
కు	4823	
దే	4816	
బా	4788	
సు	4768	
దు	4747	
ణు	4739	
ప	4618	
మ్‌	4352	
త	4251	
ను	4181	
స	4177	
వా	4164	
మా	4113	
ఙ	4094	
ద	4051	
క్	3942	
ప్	3930	
హ్	3867	
ఎ	3763	
త్	3651	
యా	3623	
హి	3513	
ఙి	3168	
ట	2977	
దా	2905	
ద్	2862	
మీ	2836	
ఒ	2828	
వి	2821	
డిః	2820	
మి	2781	
ణి	2718	
తు	2640	
బ	2543	
డ	2525	
ర	2489	
ఙ్	2416	
వం	2386	
యే	2214	
లు	2209	
లో	2137	
ము	2135	
ఏ	2095	
వాం	1993	
పు	1990	
తె	1975	
ట్	1956	
ల్	1953	
గి	1927	
లి	1908	
మం	1885	
డ్ః	1857	
కెం	1827	
డ్‌	1797	
గా	1750	
సె	1744	
సొ	1740	
జ	1718	
య	1707	
నం	1682	
గ	1675	
నీ	1665	
జు	1639	
కె	1613	
గ్	1592	
రా	1581	
హా	1581	
బు	1579	
పా	1558	
ఎం	1485	
ద్‌	1428	
ఙె	1425	
యె	1411	
లా	1410	
సా	1333	
లొ	1287	
పి	1275	
అం	1204	
సీ	1198	
య్‌	1164	
ఉం	1160	
ల	1160	
టు	1125	
పె	1125	
రం	1071	
బె	1063	
బ్	1063	
గొ	1059	
మ్	1029	
జె	1004	
ల్‌	981	
కూ	971	
కొ	965	
పొ	956	
రీ	928	
స్‌	921	
డొ	811	
టె	809	
గు	797	
యూ	788	
ఙా	728	
డి	705	
తో	705	
బి	701	
ఏం	672	
ఉ	658	
డు	644	
రొ	644	
కం	641	
టి	610	
డొః	609	
రూ	603	
ట్‌	596	
డా	584	
దొ	574	
బో	568	
మొ	567	
హ	560	
పం	553	
పో	552	
తం	550	
సూ	537	
జా	536	
దూ	531	
హ్‌	529	
రే	525	
పే	517	
డె	498	
రో	493	
లం	477	
గె	475	
తాం	473	
జే	472	
యి	467	
పూ	465	
ప్‌	451	
డః	438	
బూ	435	
తొ	418	
ఇం	417	
కో	388	
ఓ	387	
మో	385	
హె	385	
నొ	367	
తీ	362	
టం	361	
సం	354	
యో	322	
డెః	321	
సొం	321	
దం	320	
యం	314	
మె	313	
డుః	303	
క్‌	294	
ణ	281	
గ్‌	280	
హు	276	
ఈ	272	
యు	270	
జం	264	
గొం	259	
య్	259	
వీ	255	
వ్‌	253	
లెం	240	
వెం	239	
సెం	231	
ఙు	229	
ణం	208	
సే	199	
గెం	190	
రెం	186	
వీం	185	
రాం	184	
సో	183	
గం	176	
ణ్‌	166	
టా	159	
ముం	155	
కే	153	
లే	144	
పెం	143	
డొం	142	
రుం	138	
బే	136	
డాః	132	
నాం	129	
దీ	122	
హాం	119	
మూం	118	
వే	118	
ఙాం	114	
తిం	112	
గో	108	
మే	107	
నెం	102	
బొ	102	
నిం	99	
బం	96	
డే	90	
మూ	90	
నే	87	
ణె	82	
కీ	80	
డో	80	
టో	79	
ఊ	78	
త్‌	78	
పీ	77	
యొ	71	
లీ	71	
కాం	70	
దో	70	
బీ	70	
ణా	66	
హే	64	
జ్	62	
కొం	60	
నూ	60	
సిం	59	
విం	58	
నో	55	
తూ	49	
గుం	45	
జో	45	
వ‍	43	
ఙం	42	
పొం	42	
టొ	40	
హం	40	
నేం	37	
తే	35	
రిం	35	
పిం	34	
1	29	
