cluster	count	casing patterns
e	201019	
a	162268	
o	104193	
r	88979	
i	77105	
h	76906	
p	62894	
n	57896	
y	56633	
m	52929	
v	52462	
u	50953	
k	41306	
w	38351	only_lower
t	34135	
g	26372	
j	26300	
d	24874	
ã	19934	
s	17856	
x	17499	
b	17096	
é	15143	
á	11227	
ẽ	11009	only_lower
ĩ	6687	only_lower
í	5296	
ỹ	2939	only_lower
ó	2825	
l	2088	
c	1907	
ý	1427	only_lower
õ	1403	
ũ	1328	only_lower
ú	648	only_lower
f	413	
z	311	
q	207	
ç	99	only_lower
ô	88	only_lower
ê	38	
â	20	only_lower
ü	15	only_lower
1	3	
7	2	
2	1	
8	1	
