cluster	count	casing patterns
t	85168	
g	70214	
n	69295	
k	55669	
a	53313	
ỹ	49972	
r	43659	
h	39575	
m	39005	
i	35648	
ẽ	33681	
ã	33581	
ĩ	33017	only_lower
e	32993	
ó	29870	
j	28924	
ũ	28810	
v	22753	
é	19342	
s	18897	
o	17991	
p	12916	
u	9225	
á	8434	
f	6008	
y	5687	only_lower
l	1768	
c	1640	
d	1624	
b	547	
1	149	
q	149	
z	142	
0	133	
í	127	only_lower
7	104	
4	98	
2	95	
ô	83	only_lower
5	60	
6	34	
x	33	only_lower
ú	31	only_lower
ð	31	only_upper
ê	28	
3	26	
8	20	
â	20	only_lower
ç	20	only_lower
9	9	
õ	1	only_lower
