cluster	count	casing patterns
ꩫ︀်ႈ	18925	
မ︀ႆ︀ႛ	15681	
ꩫ︀ႆ︀ႇ	14845	
ဝ်	14644	
ဢ︀	14422	
ꩫ︀	14031	
ဝ်ႛ	12063	
ꩡ︀	11518	
က︀	11098	
င︀်း	10573	
ၵ︀	10445	
ဝ်ႈ	10429	
ꩫ︀်း	10361	
င︀်	9347	
ꩬ︀ီ	8674	
မ︀်	7721	
မ︀	7364	
ဢ︀ူ	6732	
ယ︀ႃႇ	6366	
က︀်ႉ	6288	
င︀်ႈ	6199	
ꩫ︀်	5779	
တ︀်	5481	
ပ︀ီ	5090	
က︀ူ	5001	
ဝ်း	4753	
မ︀ႃး	4636	
ယ︀	4487	
က︀ေႃႇ	4316	
ꩭႂ်ႛ	4000	
မ︀်း	3994	
ဝ်ႇ	3973	
တ︀	3883	
ꩬ︀ူ	3864	
မ︀ိူ	3464	
ၸ︀ြႃး	3397	
က︀ီး	3302	
တ︀ီ	2973	
ၸ︀ူႛ	2899	
မ︀ႂ်း	2884	
က︀်	2835	
လ︀ု	2688	
က︀ႃ	2683	
ꩬ︀ု	2634	
တ︀်ႉ	2542	
င︀ႆ︀း	2493	
ယ︀ေ	2489	
ꩭ	2372	
ꩬ︀	2329	
ဝႃႈ	2299	
မ︀်ႈ	2152	
တ︀ၢ	2093	
ꩡ︀ႂ်ႈ	2074	
ၵ︀ၢ	2052	
ꩫ︀်ႛ	2051	
ꩭၢ	2009	
လ︀ွ	1936	
ပ︀ူ	1897	
ꩵ︀ႈ	1888	
ပ︀်ႉ	1780	
လ︀ိူ	1768	
ဝ	1768	
ꩫ︀ႆ︀ႛ	1703	
ပ︀ိူ	1661	
ꩭီ	1642	
ꩭူ	1592	
တ︀ႃႉ	1552	
ပ︀်	1501	
ꩰ	1481	
ꩬ︀ၢ	1469	
ꩫ︀ီႈ	1433	
ꩫ︀်ႇ	1431	
င︀်ႇ	1430	
ဝႆ︀ႇ	1392	
ၵ︀ႃႛ	1276	
တ︀ူ	1243	
တ︀ွ	1222	
လ︀ူ	1204	
က︀ွ	1199	
ယ︀ု	1167	
ꩬ︀ွ	1132	
ၵ︀ွ	1117	
ပ︀	1034	
ၵ︀ႃ	1002	
ပ︀ႅ	988	
ꩫ︀ႆ︀	962	
ဢ︀ွ	959	
က︀ၢ	931	
လ︀ိ	912	
ဝီ	880	
က︀ိ	851	
ရ︀ီ	844	
ꩡ︀ွ	844	
ပ︀ွ	839	
တ︀ူႈ	816	
တ︀ႆ︀ၢႈ	798	
ꩡ︀ႃႇ	793	
ꩬ︀ိ	788	
တ︀ြႃး	786	
င︀်ႛ	784	
ꩬ︀ို	773	
တ︀ိ	760	
ၵ︀ႅ	754	
