cluster	count	casing patterns
या	27080	
व	25012	
र	17333	
ए	15202	
द	11645	
ओ	10463	
स	10140	
ला	9795	
ज़्‍	9526	
न	9335	
ता	8678	
रा	8055	
ज़	7582	
उ	7097	
नी	6641	
न्‍	6629	
नो	6475	
ई	6366	
प	6253	
ङा	6043	
क	5941	
मा	5895	
सि	5565	
त	5561	
स्‍	5503	
लि	5389	
ब	5381	
यो	5327	
जे	5171	
ल	5041	
म	4493	
दा	4353	
है	4116	
ल्‍	3760	
के	3740	
री	3561	
मे	3474	
सु	3383	
र्	3320	
गे	3136	
दो	3068	
पाँ	2968	
कि	2892	
जै	2843	
रि	2733	
बा	2676	
का	2620	
हु	2604	
ये	2581	
क्‍	2550	
आ	2474	
वा	2297	
युँ	2222	
ना	2215	
ले	2184	
इ	2070	
अ	2009	
नै	1954	
ते	1894	
पा	1870	
मि	1842	
मिँ	1772	
सा	1768	
हो	1759	
नि	1710	
चि	1615	
खा	1606	
भ	1560	
चा	1477	
बो	1440	
य़े	1334	
फ	1329	
पु	1300	
दी	1297	
ग	1295	
तो	1275	
इँ	1226	
ज़्	1169	
धु	1169	
थै	1154	
म्‍	1154	
जा	1149	
ख्	1138	
स़ो	1107	
जूँ	1102	
दै	1099	
प्‍	1090	
प़ा	1071	
रू	1016	
सो	1008	
ह	988	
ली	959	
ख	958	
द्	956	
य	949	
थ	921	
याँ	918	
ङ़ा	914	
च्‍	888	
रो	881	
ज	874	
ज़ा	864	
रँः	855	
बु	836	
सैं	830	
रै	818	
जो	808	
ती	789	
हि	766	
कु	736	
हा	724	
नँ	704	
त्	701	
च	683	
नु	678	
रे	677	
ध	666	
पै	666	
बे	649	
चो	640	
खे	630	
प्	626	
ची	611	
ज्‍	610	
मो	572	
झाः	566	
भु	566	
झ़ि	565	
पो	555	
कै	544	
छैं	542	
लाँ	537	
छु	527	
छ्	521	
योः	520	
रीं	516	
दु	510	
लो	501	
ङ	483	
माः	482	
में	482	
झ	476	
क्	464	
था	448	
लु	432	
हू	431	
हाः	426	
छीं	421	
भा	413	
गा	402	
ति	398	
र्‍	396	
जि	393	
दि	384	
राँ	379	
गै	370	
मी	368	
से	368	
गो	354	
रु	354	
स्	351	
नैं	350	
को	344	
ख्‍	339	
रैंः	338	
ऱा	335	
सै	330	
घ	326	
ऊ	325	
जु	320	
सैः	311	
पैं	306	
घ्	305	
छा	297	
सी	296	
ऱी	288	
खै	283	
खि	276	
मु	269	
बाँ	267	
यु	256	
गि	255	
खु	246	
ङ्	246	
बि	240	
१	234	
यू	233	
तैं	229	
पों	229	
घे	228	
धा	228	
य़ा	222	
ऩे	217	
भैंः	216	
छे	213	
जाँ	207	
ब्‍	205	
तै	198	
थी	197	
थो	197	
दे	197	
मीं	194	
गु	183	
लै	183	
ङ़ै	181	
दाँ	177	
फा	172	
रैः	172	
तु	171	
तँ	165	
पि	163	
मेंः	161	
खँ	160	
ऩा	160	
याँः	160	
ब्	158	
ध्‍	155	
रें	155	
च़ु	146	
म़ा	142	
स़े	142	
साः	142	
घ्‍	140	
चे	140	
जी	140	
धूँ	139	
नाः	138	
चु	136	
त्‍	136	
धो	135	
फु	132	
ईं	125	
थू	125	
की	124	
चै	120	
फि	120	
याः	119	
छ	117	
भाः	114	
लुँ	114	
खो	113	
छि	110	
ज़ि	109	
झ्	107	
पी	106	
आः	105	
२	105	
ग्‍	100	
एँः	99	
क़ि	97	
कू	97	
ऩि	96	
न्	95	
झी	93	
स़ों	93	
हे	90	
सीं	89	
मै	87	
झु	84	
झेंः	84	
ह्	84	
ने	83	
फै	80	
धी	76	
धि	75	
३	75	
जीं	71	
ल़ु	71	
दीं	70	
घु	69	
वो	69	
घै	67	
छो	67	
वैं	67	
बी	66	
ऱि	66	
धोंः	65	
माँ	63	
म़ों	61	
चाँ	60	
भो	60	
फो	58	
फ्	57	
घा	56	
झि	56	
छाँ	55	
थि	55	
त़ो	53	
ल्	53	
४	53	
साँ	52	
राः	51	
घो	50	
फे	50	
थैं	49	
प़ो	49	
मँः	49	
म्	49	
केः	47	
ङाँः	47	
उँ	45	
ग्	45	
सिं	45	
कीं	44	
लँः	44	
फू	43	
सूँ	43	
लँ	42	
ङाः	40	
तू	39	
थु	38	
भों	38	
म़ै	38	
सं	38	
थाँ	37	
प़	37	
वै	37	
एः	36	
माँः	35	
प़ि	34	
ङ़	33	
ऩु	33	
रैं	33	
थे	31	
५	31	
६	31	
जुँ	30	
०	30	
मौ	29	
लाँः	29	
च़ि	28	
८	28	
च़	27	
ह्‍	27	
थँ	25	
बै	25	
भाँ	24	
९	24	
इ़	23	
वाँः	23	
हाँ	23	
चौ	22	
छी	22	
ज़ु	22	
झेः	22	
भै	22	
ङो	21	
बैं	21	
भि	21	
सँ	21	
आँ	20	
झ्‍	19	
रीः	19	
काँ	18	
झँ	18	
बू	18	
७	18	
पे	17	
गों	16	
चाँः	16	
तैः	16	
व़ी	16	
सः	16	
स़्	16	
फौ	15	
ऱू	15	
च़ा	14	
ज़ो	14	
ऱ	14	
ल़	14	
झ़ा	13	
झे	13	
सू	13	
तैंः	12	
कुँ	11	
गू	11	
पाँः	11	
म़ि	11	
यि	11	
लू	11	
काः	10	
गाँ	10	
च्	10	
फीं	10	
भे	10	
मँ	10	
इँः	9	
क़्	9	
कौ	9	
घूँ	9	
ज्	9	
झ़्	9	
त़ि	9	
त़ु	9	
धें	9	
म़ु	9	
मुँ	9	
वाँ	9	
खी	8	
घि	8	
घें	8	
च़ें	8	
जैं	8	
पीं	8	
मींः	8	
मेः	8	
उः	7	
खाँ	7	
जू	7	
फी	7	
यूँः	7	
लें	7	
लैं	7	
ही	7	
ऊँ	6	
गुँ	6	
चू	6	
झ़ैं	6	
झो	6	
त़ा	6	
दूँ	6	
धाः	6	
य़ुँ	6	
ल़ो	6	
व़ाँ	6	
क़्‍	5	
खों	5	
गी	5	
ङु	5	
च़्‍	5	
झीः	5	
दँ	5	
नौ	5	
भीः	5	
हौ	5	
चों	4	
दौ	4	
ध्	4	
भी	4	
यूँ	4	
यों	4	
राँः	4	
लौ	4	
वीं	4	
स़ा	4	
स़ु	4	
स़्‍	4	
घां	3	
चीं	3	
झै	3	
थूँ	3	
पौ	3	
बँ	3	
भूँ	3	
भ्‍	3	
मू	3	
मों	3	
ऱै	3	
वे	3	
वैः	3	
हँ	3	
कँ	2	
किं	2	
घों	2	
ङ़ैं	2	
ज़ें	2	
तोः	2	
प़े	2	
प़ै	2	
फाँ	2	
फों	2	
फ्‍	2	
लीं	2	
सोंः	2	
क़ु	1	
काँः	1	
गें	1	
ङै	1	
छों	1	
झ़्‍	1	
झें	1	
त़	1	
ताँ	1	
तूँ	1	
तें	1	
तों	1	
तौ	1	
थें	1	
थौं	1	
थ्	1	
थ्‍	1	
दिं	1	
धाँ	1	
धे	1	
नाँः	1	
बों	1	
भ्	1	
यां	1	
यी	1	
य्	1	
रूः	1	
रेंः	1	
रौ	1	
रौं	1	
लों	1	
हों	1	
