cluster	count	casing patterns
ɛ	116260	
n	79579	
a	79210	
e	61844	
m	61573	
y	61362	
k	61316	
i	58528	
t	45253	
ɔ	36708	
ɓ	34096	
s	31251	
u	30198	
o	28906	
w	26233	
ŋ	20545	
d	19737	
b	16372	
l	16245	
j	15613	
g	13045	
ɗ	12990	
p	10707	
ɛ́	6146	only_lower
r	5078	
a̧	3843	only_lower
h	3202	
ɛ̀	2882	only_lower
í	1441	only_lower
u̧	1211	only_lower
î	944	only_lower
ɛ̂	877	only_lower
â	813	only_lower
ì	810	only_lower
á	630	only_lower
f	509	
ê	411	only_lower
ô	383	only_lower
é	338	only_lower
ú	293	only_lower
ɛ̧	258	only_lower
û	222	only_lower
ɔ̧	202	only_lower
ó	148	only_lower
v	146	only_lower
i̧	141	
ɔ̂	107	only_lower
ɔ́	61	only_lower
ɔ̀	53	only_lower
1	36	
0	15	
4	11	
2	9	
6	5	
3	4	
5	3	
9	2	
à	2	only_lower
7	1	
ù	1	only_lower
