cluster	count	casing patterns
a	111241	
n	80369	
k	53450	
e	40461	
ɔ	40453	
i	40129	
o	39567	
ɓ	37307	
á	35497	
m	35421	
g	31942	
ɛ	25844	
s	20838	
d	20755	
t	18211	
u	17415	
b	17027	
p	13822	
y	11506	
ɗ	10111	
é	7136	
h	7101	
j	5752	
í	5092	
ú	4911	
ó	4691	
c	3241	
l	2991	
ɔ́	2668	
ɛ́	2133	
ǎ	1769	only_lower
ǒ	1598	
ě	1522	
w	1239	
î	1030	only_lower
â	684	
ɔ̌	601	only_lower
ǔ	557	only_lower
ɛ̌	480	
0	291	
ê	224	only_lower
1	182	
ǐ	176	only_lower
7	112	
2	105	
ô	71	
4	57	
v	37	only_lower
6	34	
3	28	
5	23	
8	19	
9	13	
ɔ̂	9	only_lower
û	7	only_lower
ɛ̂	1	only_lower
