cluster	count	casing patterns
ង	21869	
ត	20284	
ន	18764	
ក	15991	
អ៊ែ	14677	
ម	14452	
ហ	13518	
យ	13473	
រ	12242	
ឡា	11731	
គ់	10833	
វ	10737	
ច	10178	
ឌី	10061	
ម៉ា	9557	
មែ	9184	
ព	9120	
រែ	8847	
គ្	8688	
ដៃ	7573	
ប	7080	
ក់	6891	
ស	6522	
អ្	5429	
នែ	5120	
អៃ	5116	
ត្	5100	
ប្	4656	
កា	4556	
រៀ	4276	
ឡើ	4151	
បើ	4134	
វែ	4130	
វ៉ា	4018	
ហា	4012	
រ៉ា	3966	
ណា	3729	
គ	3573	
ប៊ិ	3571	
ហ្	3553	
ត់	3381	
ទឹ	3363	
ហ៊ឹ	3013	
យ៉ា	2991	
អ៊ឺ	2965	
រា	2926	
សា	2884	
អាំ	2816	
សៃ	2788	
ន់	2781	
ឝឹ	2730	
យី	2599	
ៗ	2534	
យា	2513	
ប៉ា	2509	
បូ	2463	
ង៉ា	2453	
ស៊ូ	2444	
ឆិ	2426	
លែ	2415	
ល	2371	
និះ	2345	
តា	2205	
ង់	2124	
ទឺ	2085	
រ៉ិ	2057	
អ	2010	
ដា	1979	
គូ	1929	
រូ	1914	
ចា	1821	
ញ	1753	
បា	1736	
ប់	1732	
ណោះ	1709	
កួ	1667	
ដូ	1615	
ក្	1576	
ខ	1491	
ដ្	1450	
ព្	1434	
ឋា	1354	
រី	1340	
ស្	1333	
វ្	1247	
ទ្	1234	
ញ៉	1180	
យូ	1169	
តៃ	1164	
ដិះ	1144	
មិ	1141	
នុ	1116	
ឡូ	1100	
ឡ	1080	
ឞ	1073	
មូ	1068	
ដឹ	1046	
ជុ	1022	
ម៉ើ	1006	
ឞា	999	
ប៊ុ	945	
មឿ	939	
ដ	938	
ឝ៉ា	923	
ស៊ិ	918	
ណើ	907	
សឿ	904	
ញ៉ា	898	
ញិ	874	
តូ	858	
ប៊ឹះ	855	
គែ	854	
ឋិ	844	
ផ	810	
អ៊ី	807	
ល់	801	
អា	799	
ម៉	778	
ង៉ៃ	774	
ឡឹ	750	
រិះ	745	
កើ	735	
ពឹ	710	
មុ	710	
ផា	686	
ឝ្	680	
ស៊ែ	666	
ញឺ	650	
រ៉ៃ	649	
ហៀ	644	
យ៉ូ	630	
ដុ	617	
រ៉ូ	616	
អោះ	609	
ខំ	607	
លុ	604	
ឌូ	586	
ដិ	582	
ឍឺ	578	
ទិះ	578	
តើ	573	
អើ	569	
នឹ	565	
រ៉	565	
រំ	564	
នា	553	
អូ	542	
លឺ	535	
នឺ	527	
ហូ	527	
ជែ	525	
ទី	525	
ឌឹ	523	
ដាំ	518	
រុ	514	
ស៊ី	502	
លី	501	
ប៉ូ	471	
ជឹ	461	
ឡាំ	452	
អ៊ូ	452	
ម៉ូ	449	
ទុ	447	
ប៉	445	
ខា	427	
ពែ	422	
មិះ	411	
លៀ	408	
តៀ	407	
រិ	401	
កុ	400	
លូ	398	
មឺ	397	
រើ	393	
ឃឹ	391	
ងឺ	389	
ថា	385	
បះ	379	
ចួ	376	
ពី	376	
ថ	373	
ឆ	369	
ជឺ	365	
ប៉ិ	364	
ហ៊ិ	359	
ឈឹ	356	
រុះ	355	
សុ	355	
សំ	355	
យ៉	348	
ម៉ៃ	345	
ពឺ	342	
រ៊ុ	340	
ជិ	338	
ធុ	333	
ចូ	330	
ណាំ	329	
ឋើ	322	
សូ	322	
ម៉ាំ	318	
ចៀ	306	
ហៃ	303	
ណូ	296	
វី	293	
ណិះ	283	
ច្	280	
នូ	280	
ឃែ	278	
ថូ	277	
យ៉ះ	277	
ចាំ	276	
ប៉ះ	273	
ឈូ	272	
ពួ	270	
ហាំ	268	
អំ	265	
ឋួ	263	
ឝ៉ើ	263	
ចិះ	258	
ខឿ	257	
ខៀ	249	
ឆ្	248	
យឺ	240	
មឹ	239	
ស៊ុ	239	
ឞ៊ុ	232	
ផឿ	231	
ហ៊ែ	231	
ងុ	228	
ណ	221	
ឝ	221	
ឡិ	218	
ឆួ	217	
គី	204	
សើ	204	
ឃូ	203	
ប៊ែ	203	
ទិ	196	
ដើ	194	
ឆុ	192	
នុំ	189	
ប៊ី	187	
អ៊ិ	186	
ទូ	184	
ឌែ	180	
តឹះ	178	
ប៉ឹះ	176	
ង៉	175	
កូ	173	
ប៉ៃ	171	
យឹ	164	
ប៉ាំ	160	
ម៉ោះ	158	
អៀ	155	
ក៝	153	
ទុះ	147	
ភែ	147	
ស៊ុំ	146	
មី	145	
រ់	144	
ឈិ	141	
ភី	141	
ញែ	140	
ឌុ	138	
លួ	138	
រ៉ើ	137	
ល៉ៃ	135	
លឿ	133	
ដៀ	132	
ឌឺ	132	
រួ	132	
គឹ	131	
ធែ	131	
នំ	130	
ជ្	127	
ម៉ិ	127	
ហ៊ូ	127	
ឝ៉ូ	124	
ឞឹះ	123	
លះ	121	
ងា	120	
មុះ	116	
លិ	115	
លីះ	115	
និ	114	
កិះ	112	
លាំ	110	
ឌ្	109	
ណៃ	109	
វៀ	108	
ស៊ឹ	108	
ឈ្	107	
ឝុ	107	
នី	106	
ឞៀ	106	
ទុំ	105	
ពៀ	105	
វីះ	105	
អ៊ុ	105	
ង៉ូ	104	
ប៊ឹ	104	
សាំ	104	
វ៉ាំ	103	
ហ៊ី	103	
ថុ	99	
លឹ	99	
សួ	98	
រឺ	96	
រ៊ី	96	
ច់	95	
ថាំ	95	
ឃឺ	93	
ឞ៊ែ	93	
ឈិះ	91	
ឃុ	90	
ឌិ	90	
តំ	90	
ប៊ូ	90	
ផើ	90	
រឹ	90	
មួ	89	
វ៉	86	
ធី	85	
រ៉ះ	85	
ពុ	83	
វ៉ូ	83	
វ៉ើ	83	
ឞ៊ឺ	83	
ញុ	82	
ប៉ុះ	82	
តាំ	81	
ឍី	80	
កិ	79	
លា	79	
អួ	79	
ស៊ឺ	78	
ឝ៉ឹ	77	
ប៉ើ	76	
វឹ	76	
សៀ	76	
ខៃ	74	
ពិ	74	
ពឹះ	74	
កៀ	73	
ងួ	73	
១	73	
តោះ	72	
តួ	71	
កំ	68	
គុ	68	
ខូ	67	
តះ	67	
រ៊ែ	67	
ហួ	67	
ភូ	66	
ឝែ	66	
ចំ	65	
ឋុ	65	
យួ	65	
សិ	65	
រះ	63	
ថើ	62	
នៀ	62	
រាំ	61	
ឡោះ	60	
យ៉ៃ	59	
ណុ	58	
នឿ	57	
ឞិ	57	
ឝ៉	56	
បួ	55	
ល៉ោះ	55	
ឞិះ	54	
ឆៀ	53	
ប៊ុះ	53	
អិះ	53	
ឈែ	51	
វិ	51	
វឺ	51	
អ៊ឹ	51	
ងឹ	50	
ឆា	50	
ហើ	48	
ឈុំ	47	
ដំ	45	
ផ្	45	
ឡុ	45	
ទែ	44	
រៃ	44	
កី	43	
កៃ	42	
រ៉ុ	42	
ឡះ	42	
តិ	41	
តុ	41	
ប៉ិះ	39	
២	39	
