cluster	count	casing patterns
á	111001	
í	79163	
ã	76573	
k	67478	
n	61654	
g	60325	
d	59795	
ä	53950	
é	52550	
ë	50683	
m	42305	
s	42029	
ĩ	41915	
b	37981	
õ	37883	
ẽ	37130	
y	33771	
ꞌ	33215	only_lower
h	32638	
ï	30315	
ó	28477	
r	26734	
p	24016	
l	23918	
j	23391	
ũ	23383	
t	21833	
ú	18728	
î	18565	only_lower
ŋ	18124	
ö	16937	
ḷ	8650	
z	8286	
ă	7362	
â	6255	only_lower
ü	5833	
w	5407	
v	2412	only_lower
ŏ	2112	
ĕ	1988	only_lower
f	1755	
ĭ	1755	
ŭ	847	
c	666	only_lower
ê	625	only_lower
ô	368	only_lower
0	218	
1	76	
5	43	
4	36	
2	35	
3	33	
û	28	only_lower
6	21	
7	20	
8	20	
9	14	
