cluster	count	casing patterns
a	181317	
i	163089	
u	126252	
n	114481	
e	109243	
t	91343	
k	58195	
w	54785	
m	48883	
b	47970	
s	47656	
r	44585	
y	43030	
g	24557	
o	21547	
d	20377	
f	14734	
p	11137	
j	9452	
c	6888	
h	6504	
l	3188	
x	2691	
ā	1382	
z	890	
á	325	
é	245	only_lower
ú	224	
í	136	only_lower
ī	118	only_lower
v	84	
0	83	
ē	80	only_lower
à	75	
è	47	only_lower
ó	44	only_lower
1	40	
ù	36	only_lower
5	30	
2	28	
3	28	
8	24	
4	22	
9	22	
6	19	
7	16	
ì	12	only_lower
ū	6	only_lower
ò	3	only_lower
ê	2	only_lower
