cluster	count
a	162212
e	103860
n	96375
m	76220
o	74963
q	62192
t	58822
i	56992
g	52554
k	43504
v	34814
z	34730
ø	34712
u	34514
d	30657
b	29660
h	18754
p	18457
s	17729
á	15220
é	13267
l	8817
y	7434
w	7264
f	5050
í	4661
꞉	4536
ā	3909
æ	3650
ǿ	3556
ó	3317
ø̄	1936
ø̀	1771
è	1658
ú	1461
ǽ	1404
ē	1303
ō	931
ò	593
ī	587
ɨ	552
à	535
ê	415
â	361
ɨ́	342
ǣ	277
ì	276
a᷄	266
ù	257
ô	168
ū	146
e᷄	122
o᷄	86
0	75
î	73
1	69
i᷄	55
æ̀	54
ø̂	50
2	35
0́	30
4	29
3	28
u᷄	25
r	19
5	16
6	16
û	15
ɨ̄	15
7	8
8	7
x	7
9	5
4́	4
8́	3
æ̂	3
æ᷄	3
6́	2
ḡ	2
ɨ᷄	2
2́	1
3́	1
9́	1
