cluster	count
h	95214
t	83876
a	78801
y	60313
n	45825
k	42694
u	41522
p	40656
r	37426
ǎ	28767
l	28459
ô	25631
m	25601
è̤	25310
d	23773
e	20072
ě	20021
ố	17831
á	17793
ò́	15975
o	15284
ò	14536
c	14473
i	13965
ǔ	13653
ǐ	13560
è	13419
s	12634
é	12574
è́	11088
b	10450
w	8418
ú	8325
ô̌	8259
ǒ	8166
í	8023
é̤	7591
e̤	7447
v	6957
è̌	6417
ò̌	5739
á̤	4821
í̤	4434
z	3887
a̤	3746
g	3686
û	2926
ó	2715
ṳ̂́	2592
û́	2461
ố̤	2366
ǎ̤	2285
ó̤	2212
o̤	2038
ò̤́	1438
è̤̌	1234
û̌	1210
ě̤	1186
ǐ̤	1161
ǒ̤	930
ò̤	756
ṳ	698
ṳ̂̌	684
i̤	590
ṳ̂	585
ṳ́	580
ṳ̌	447
è̤́	418
ô̤	175
ô̤̌	156
ò̤̌	142
1	24
x	12
j	9
q	9
2	8
3	7
0	5
5	4
8	4
4	3
7	3
6	1
f	1
