cluster	count
ꤟ	171751
ꤢ꤬	118850
ꤛ	94189
ꤒ	64863
ꤔ	58865
ꤢꤧ꤬	55859
ꤚ	53217
ꤕ	44271
ꤢ꤭	43797
ꤊ	42930
ꤜ	42675
ꤢꤪ	41231
ꤗ	40709
ꤢ	36497
ꤢꤩ꤬	35596
ꤌ	35583
ꤞ	34283
ꤘ	34175
ꤣ꤬	33936
ꤢꤩ꤭	28654
ꤣ	28572
ꤡ	28194
ꤢꤩ	27867
ꤋ	25307
ꤥ꤬	22333
ꤢꤨ꤭	19861
ꤤ꤭	19764
ꤤ	19423
ꤢꤧ	18846
ꤙ	18456
ꤓ	18244
ꤢꤨ	17617
ꤖ	17410
ꤏ	14878
ꤠ	13403
ꤢꤨ꤬	12627
ꤥ꤭	12439
ꤤ꤬	12323
ꤢꤦ	12012
ꤢꤧ꤭	11962
ꤝ	11317
ꤣ꤭	10941
ꤢꤪ꤭	9820
ꤥ	7496
ꤑ	6435
ꤢꤪ꤬	5672
ꤐ	5181
ꤢꤦ꤬	5102
ꤢꤦ꤭	2605
ꤎ	1967
ꤍ	1942
꤁	43
꤂	24
꤀	11
꤃	11
꤄	10
꤅	10
꤈	7
ꤢꤩ꤬꤬	7
꤇	6
꤆	3
꤉	3
1	1
