cluster	count	casing patterns
h	96559	
t	87431	
a	81008	
y	60807	
n	46713	
k	45948	
p	44067	
u	41572	
r	38938	
l	29050	
ǎ	28825	only_lower
m	28059	
ô	25592	only_lower
è̤	25418	only_lower
d	24906	
e	20310	
ě	20135	only_lower
c	18151	
ố	17901	
á	17885	only_lower
ò́	16003	
o	15430	
ò	14581	
i	14263	
è	14193	
ǔ	13980	
ǐ	13587	
s	13520	
b	13494	
é	12553	
è́	11142	
w	8463	only_lower
ô̌	8290	only_lower
ú	8277	only_lower
ǒ	8214	
v	8094	
í	8070	only_lower
é̤	7614	only_lower
e̤	7488	only_lower
è̌	6419	
ò̌	5755	only_lower
á̤	4839	only_lower
í̤	4444	only_lower
g	4080	
z	4000	
a̤	3766	only_lower
j	3586	
û	2920	only_lower
ó	2715	only_lower
ṳ̂́	2599	only_lower
û́	2463	only_lower
ố̤	2366	only_lower
ǎ̤	2288	only_lower
ó̤	2207	only_lower
o̤	2042	only_lower
ò̤́	1441	only_lower
è̤̌	1232	only_lower
û̌	1212	only_lower
ě̤	1189	only_lower
ǐ̤	1163	only_lower
ǒ̤	928	only_lower
ò̤	760	only_lower
ṳ	694	only_lower
ṳ̂̌	685	only_lower
i̤	590	only_lower
ṳ̂	590	only_lower
ṳ́	579	only_lower
ṳ̌	443	only_lower
è̤́	425	only_lower
ô̤	176	only_lower
ô̤̌	156	only_lower
ò̤̌	140	only_lower
f	37	
1	24	
x	12	only_lower
q	11	
2	8	
3	7	
0	5	
5	4	
8	4	
4	3	
7	3	
6	1	
