cluster	count	casing patterns
a	94867	
i	56952	
k	53860	
e	49611	
u	45134	
r	40265	
n	37227	
h	36456	
l	31234	
m	29705	
y	28590	
ɓ	28254	
z	21400	
w	19926	
o	18537	
b	17566	
s	17546	
g	17068	
ŋ	16287	
t	15141	
é	9533	
p	8782	
ɔ	7653	
f	7446	
í	7374	
i̧	6128	only_lower
d	6075	
a̧	5847	
ƴ	3742	
á	3276	only_lower
ɗ	3224	
u̧	2682	only_lower
v	2242	
ú	1768	
ȩ	407	only_lower
o̧	306	only_lower
ó	141	only_lower
0	125	
í̧	119	only_lower
á̧	114	only_lower
ɔ́	84	
ú̧	74	only_lower
1	18	
2	14	
4	11	
5	11	
ȩ́	10	only_lower
9	7	
6	6	
3	4	
7	3	
x	2	only_lower
â	1	only_lower
q	1	only_lower
