cluster	count	casing patterns
ན	78986	
ང	73522	
ས	52089	
ག	44130	
ད	32952	
ལ	31131	
མ	26644	
ར	23268	
ཏེ	19325	
འ	18940	
འེ	18895	
གུ	18302	
པ	12736	
ནི	12573	
ཁ	12533	
ཨི	12394	
བ	12140	
ཁོ	11489	
པོ	9576	
བོ	9166	
ཞ	8204	
ཡ	8076	
ཀ	7575	
མི	6933	
ནེ	6923	
ཡོ	6727	
ཁྱོ	6515	
ཏ	6289	
ངི	5859	
ཅོ	5721	
ཅེ	5459	
ཆོ	5141	
མོ	4766	
ནོ	4719	
ཀོ	4648	
ཚ	4644	
ཅི	4635	
གི	4617	
སི	4545	
ཟེ	4543	
འི	4333	
ཛ	4111	
ཤི	3543	
ཉ	3358	
ཞི	3088	
གྱ	3079	
ཅ	2998	
གོ	2805	
ཝ	2734	
དུ	2713	
ཆ	2675	
རི	2673	
ཕི	2672	
ཡེ	2669	
པི	2640	
ཤུ	2635	
གྱུ	2607	
ལོ	2502	
ཙོ	2465	
མེ	2464	
སོ	2430	
ཐོ	2341	
བུ	2214	
ཨ	2073	
ལུ	2068	
ཅུ	1960	
ཚོ	1926	
ཐ	1881	
ཤ	1881	
ཟ	1878	
1	1836	
ཐུ	1705	
ཏུ	1698	
ལེ	1674	
ཉི	1658	
ཤེ	1635	
ཇི	1615	
སྐྱོ	1614	
ཧ	1569	
ཞུ	1545	
སུ	1528	
ཕ	1520	
ཟུ	1500	
རུ	1450	
ལི	1446	
སེ	1371	
བི	1311	
ཨེ	1296	
ཉེ	1294	
དི	1272	
སྟ	1217	
སྟོ	1167	
ཁྲི	1143	
ཏོ	1119	
དོ	1108	
འོ	1065	
དཱ	1040	
2	1031	
ཕུ	1014	
འུ	1004	
སྐོ	978	
ཁྱེ	927	
གྲུ	917	
ཀྲ	875	
ཕྲུ	875	
ཚེ	846	
བེ	783	
རོ	775	
རེ	766	
ཆུ	760	
ཇུ	757	
ཧུ	757	
ཕོ	751	
སྟི	751	
རྡུ	744	
ཆེ	716	
3	704	
སྲ	704	
ཀུ	664	
དེ	664	
ཡུ	661	
ལྡ	625	
སྐ	622	
བྲི	620	
སྤེ	593	
ཟི	586	
རྟེ	586	
སྤུ	584	
0	583	
གྲོ	569	
སྐུ	566	
སྤོ	554	
སྡི	548	
ཕྲོ	530	
རྩི	525	
སྲུ	520	
ཏྲི	510	
4	507	
སྐྱེ	484	
ཕེ	458	
ཁུ	455	
སྔུ	443	
སྲོ	440	
རྗེ	439	
ཚུ	438	
སྤ	431	
སྲི	431	
སྙི	417	
ཀྱ	414	
5	411	
ཏྲེ	411	
ཙ	405	
གྲ	402	
ཐེ	398	
དྲ	385	
པུ	380	
སྐྱ	378	
ཀེ	374	
ཤོ	365	
6	352	
ཏི	336	
ཡཱ	327	
སྒོ	326	
ལྟ	325	
མུ	317	
གྲི	316	
བླ	316	
7	308	
ཇོ	308	
ངུ	299	
པེ	298	
ཏྲ	294	
8	290	
སྡེ	283	
ཟོ	266	
ལྕ	265	
ཁྲ	253	
ཧཱ	253	
9	250	
ཁྱུ	244	
ངོ	241	
ཁྲུ	236	
ཇ	230	
ཧེ	228	
བྲེ	226	
བྲ	222	
སྔོ	217	
གེ	215	
ཚི	208	
ཛོ	208	
རྡོ	203	
རྕུ	198	
ཀྲོ	196	
ཁྲེ	196	
རྐྱ	196	
ཉོ	193	
སཱ	192	
གྱོ	190	
ལྩ	187	
ཙེ	186	
རྩོ	177	
སྒ	175	
ཐི	170	
རྩ	170	
ལྷ	163	
ཀི	159	
ལྡི	138	
གཱ	136	
རྐ	135	
སྐྱི	132	
ནུ	129	
ཡི	129	
ལྔ	128	
རྒུ	126	
ཨོ	126	
ནཱ	125	
དྲེ	121	
ཙུ	115	
ཝི	113	
ལྟོ	113	
ཞོ	112	
རྔ	112	
སྣ	112	
ཀྱི	102	
རྟ	102	
གྱེ	97	
རྗི	96	
ལྡུ	96	
ཉུ	94	
ལྡོ	89	
ཧོ	85	
སྕོ	81	
སྨི	80	
རྐུ	79	
རྒ	79	
ཧི	74	
རྒྱ	73	
དྲུ	71	
ཟླ	64	
བཱ	62	
ཛི	62	
སྐྱུ	62	
བྲུ	61	
ཀྲི	60	
རཱ	60	
ཀྲུ	58	
རྩེ	56	
ཐཱ	53	
ལྷོ	51	
སྟེ	51	
བྱ	50	
སྦ	49	
ལྡེ	46	
ཁྱི	45	
རྫི	45	
ཁེ	44	
ངེ	44	
རྗོ	42	
ཀཱ	41	
ཀྱེ	41	
ཨུ	41	
སྒུ	39	
ཟཱ	36	
ཞེ	31	
ལྕེ	31	
ཨཱ	31	
ཙི	30	
ཁྱ	29	
རྩཱ	29	
ལྕི	28	
ཆི	27	
ཤཱ	27	
ཀྲེ	26	
མཱ	26	
ཛེ	26	
ལྟེ	26	
ཁྲོ	24	
སྲེ	24	
ལྗེ	23	
རཱི	21	
བྲོ	20	
ཀཱེ	18	
སྙེ	18	
ཏྲོ	17	
ཚཱ	15	
ཙཱ	14	
རྐྱོ	14	
སྙོ	13	
ཏཱ	12	
ཀྱོ	11	
ཕཱ	11	
རྡ	11	
ལཱ	11	
ལཱེ	11	
གྲེ	10	
སྨ	10	
དྲོ	9	
ཕྲ	9	
རྡི	9	
ལྗ	9	
སྟུ	9	
དཱི	8	
ཀཱི	7	
ཁི	6	
དྲི	6	
རྒྱུ	6	
རྦ	6	
རྨ	6	
སྐེ	6	
ཇེ	5	
ནཱི	5	
རྔོ	5	
ཤཱེ	5	
སྒི	5	
སྤི	5	
ཝེ	4	
སྦོ	4	
སླ	4	
c	3	only_upper
ལྕུ	3	
b	2	only_upper
རྐྱེ	2	
རྡེ	2	
རྫེ	2	
ལྗོ	2	
ལྫ	2	
སཱེ	2	
སྐི	2	
སྔ	2	
སྙུ	2	
སྣོ	2	
ཪ	2	
h	1	only_lower
གྱི	1	
ཏཱོ	1	
ནིི	1	
ཕྲི	1	
མཱོ	1	
ཝཱ	1	
རྒོ	1	
རྟོ	1	
རྫ	1	
ལཱི	1	
སིི	1	
སྐྲ	1	
སྕ	1	
སྟྲོ	1	
སྡ	1	
ཧཱི	1	
