cluster	count	casing patterns
เ	288590	
อ	230194	
ฮ	181332	
ะ	175144	
โ	138195	
ม	131303	
ป	118601	
ต	111381	
ว	109650	
ซ	108584	
ง	107040	
า	102217	
น	91229	
ย	90187	
ก	89466	
ล	78310	
ไ	75398	
จ	65725	
ร	65074	
อื	54045	
แ	53308	
ปุ	40063	
พ	36581	
ยุ	30330	
ม่	26133	
นึ	25887	
มั	24337	
อั	21605	
อี	21587	
ค	20779	
าึ	19894	
อึ	16467	
ญ	15679	
กื	15652	
ฮี	12895	
ฆ	12526	
ญื	11570	
ติ	10134	
ซั	8614	
มื	8306	
อิ	8242	
าื	7533	
กั	7523	
ปั	7369	
ลั	6769	
ด่	6747	
ตื	6576	
ตั	5673	
ลี	5590	
ฮั	5549	
ง่	4939	
บ	4896	
ฟ	4608	
จื	4527	
ลั่	4505	
น่	4465	
ท	4372	
วิ	4264	
ตุ	4123	
นั	4102	
บ่	4098	
ตี	3532	
ซู	3445	
วี	3245	
รั	3221	
ช	3190	
ดั	3126	
ด	3047	
รี	2868	
จั	2862	
ริ	2784	
กี	2744	
ย่	2683	
คั	2600	
กิ	2477	
ซี	2417	
บื	2251	
ดิ	2215	
ซิ	2065	
รุ	1995	
ลื	1894	
ปื	1725	
ฮุ	1573	
กุ	1543	
ยิ	1503	
ปิ	1472	
มั่	1465	
ลี่	1454	
ลิ	1453	
ซื	1445	
พิ	1377	
คี	1362	
ทั	1343	
ทื	1291	
รู	1286	
นิ	1242	
วื	1198	
บั่	1195	
ตึ	1176	
ยู	1171	
ญุ่	1155	
ล่	1109	
ดุ	1089	
คิ	1087	
ญั	1075	
ชุ	983	
ยื	981	
มี	973	
ปี	962	
ลุ	942	
ฟื	930	
มิ	920	
ฆี	908	
ฟี	889	
ที	882	
ซึ	876	
อุ	876	
บี่	850	
ฌ	822	
วั	777	
พี	751	
จี	747	
ญุ	732	
0	695	
ชี	687	
มู	671	
ฮิ	661	
อู	638	
ดี่	622	
ๆ	561	
บุ	533	
งุ	519	
ชิ	498	
มุ่	493	
จุ	482	
พั	472	
คึ	463	
ฌื	397	
นี	396	
ดี	395	
ปึ	389	
ชั	387	
ชู	384	
ดั่	362	
รึ	339	
ทิ	320	
ซุ	295	
กึ	278	
นุ	276	
ฮู	262	
นุ่	260	
ดื	257	
ฆุ	248	
ตู	221	
1	213	
2	212	
งี	208	
บี	208	
ญี่	205	
ฟั	204	
ลู	202	
ปู	200	
บึ	196	
ฆิ	190	
วู	187	
บู่	182	
คุ	177	
คู	177	
ญื่	176	
งั	164	
นู	161	
5	153	
ฆั	152	
3	143	
บุ่	141	
ดู่	140	
บิ่	140	
6	117	
พื	116	
4	108	
ดู	108	
กู	106	
7	105	
จิ	105	
ยุ่	105	
ลึ	105	
มุ	100	
ยั	93	
บื่	92	
ฟุ	88	
ชื	81	
ญึ	79	
คื	75	
ญึ่	72	
บิ	68	
วุ	68	
8	63	
ทู	62	
ดิ่	61	
ฆู	59	
ชึ	58	
พุ	58	
ฟู	56	
ฆื	51	
ฮื	48	
ยื่	44	
งี่	40	
ฌุ	40	
ฌี	39	
ทุ	39	
9	38	
ฌั	38	
พู	36	
บั	30	
ฟึ	30	
ลุ่	30	
ยั่	28	
ฌิ	26	
ดุ่	26	
นั่	26	
รื	25	
งื	23	
ดื่	23	
บู	22	
งั่	21	
ญิ	20	
ฟิ	19	
ญี	18	
ดึ	16	
ญั่	14	
นื	14	
ยึ	14	
งุ่	13	
ญู	11	
ยี	11	
นี่	10	
นิ่	9	
ศ	9	
มึ	8	
ก่	7	
ฮึ	6	
งิ	3	
มี่	3	
ลึ่	2	
วึ	2	
ฆึ	1	
จู	1	
ดึ่	1	
พึ	1	
ยี่	1	
ยึ่	1	
าื่	1	
