cluster	count
n	53530
y	44660
b	38754
w	32022
m	28967
ə̀	27648
l	27228
ə	25068
r	22468
a	19970
ɛ́	19614
i	17252
d	17118
ə́	16590
z	16304
h	15818
à	15691
s	14041
á	13696
ʼ	12735
k	12465
ɔ́	11454
í	11226
t	11203
c	11087
ɛ̀	10108
ì	9992
ɛ	9767
ń	9656
g	9600
é	9180
e	8913
ɔ̀	8640
ó	8462
ǹ	8432
ù	7939
u	7693
j	6425
ò	6117
ú	5974
p	5609
ɔ	5557
è	4949
â	4816
ɛ̃	3775
ê	3136
ɛ̃̀	3042
ã	2769
ǐ	2479
ẽ́	2053
v	1665
ŋ	1448
o	1344
ẽ	1313
ɔ̌	1312
f	1287
ɛ̌	1287
ə̂	1069
õ	1038
ẽ̀	951
ĩ̀	896
ɛ̃̌	896
ẽ̌	891
ǔ	796
ě	669
ũ	447
ĩ́	443
ɔ̃̀	430
ə̃̀	391
ɔ̃	277
ã̌	228
ã́	188
1	183
ǒ	182
ô	148
ã̀	137
ĩ	94
ə̃́	88
2	81
ɔ̃́	76
ĩ̌	72
ṹ	46
ə̃̌	46
0	44
3	40
õ̌	40
ɔ̃̌	38
4	34
5	30
ṍ	28
6	26
8	22
ũ̌	20
ɔ̃̂	14
9	13
7	10
ũ̀	9
ə̃	7
