cluster	count	casing patterns
ॱ	26217	
ल	22716	
त्	22343	
ङ्‌	21245	
क्‍	20879	
बे	15603	
गी	15406	
न	15215	
ङ्	13787	
यी	13771	
ये	13312	
नी	13006	
न्	12366	
हु	12008	
न्‍	11976	
ज्‍	11425	
य	11270	
च्‍	11212	
क्	10858	
स्‍	10519	
र	10242	
म्‍	9969	
ब	9668	
प्‍	9069	
दी	8733	
यु	7392	
त्‍	7185	
मी	7054	
प	6832	
घ	6750	
झ्‍	6741	
ही	6599	
की	6421	
सी	6313	
यो़	6231	
गो	5965	
के	5815	
यो	5678	
म	5360	
छ्‌	5341	
गे	5075	
दु	4587	
ङ	4357	
र्	3559	
खी	3514	
री	3378	
द	3177	
को़	3013	
ध	2984	
ङे	2948	
ह	2924	
त	2751	
व	2671	
क	2621	
खो	2583	
बु	2569	
ले	2540	
ल्‍	2509	
या	2468	
स	2423	
ड	2371	
ङी	2367	
म्	2235	
ग	2170	
लो	2076	
ढी	2056	
सु	2018	
अ	1963	
सो	1957	
पे	1947	
ली	1907	
शु	1893	
रो	1886	
मे	1875	
मु	1683	
यी़	1396	
लु	1310	
थो	1288	
कु	1252	
पु	1216	
गु	1209	
गो़	1178	
डो	1152	
तो	1147	
इ	1143	
१	1135	
थु	1126	
ए	1030	
ज	1028	
तु	1023	
तो़	985	
चो	977	
दो	974	
सो़	960	
ला	943	
ते	939	
ने	927	
नो़	917	
थो़	899	
रु	899	
घो	874	
छु	869	
आ	796	
दो़	791	
ती	778	
फी	765	
ट्‌	699	
ठी	695	
स्	690	
रे	688	
डी	686	
२	656	
पा	655	
च	642	
प्	640	
ख्	639	
ष्‍	638	
दे	624	
छी	615	
ची़	602	
सी़	602	
खु	589	
ढ	589	
भु	569	
छ	546	
उ	541	
फ	539	
से	529	
ची	521	
सा	503	
टु	499	
नो	492	
को	486	
ट	471	
थ	470	
पी़	441	
छो	437	
बा	436	
३	433	
ना	424	
जे	402	
टे	401	
भी	394	
धी़	388	
ङो़	379	
धो़	378	
वे	373	
मो	367	
जो़	366	
जो	352	
पो़	352	
रा	351	
ख	348	
डे	348	
पी	348	
बी़	345	
मा	337	
ट्	328	
ढो	320	
ढु	319	
मी़	317	
४	315	
छे	306	
ढे	301	
टो	295	
भ	280	
५	280	
घु	273	
टो़	270	
ता	270	
जी	269	
नु	269	
ओ़	264	
चो़	257	
दी़	256	
ल्	256	
घो़	254	
बो	254	
६	254	
गा	247	
ङु	241	
ठे	241	
मो़	233	
डु	232	
ङा	226	
हो	222	
फो	219	
थी	206	
ओ	205	
ब्	198	
८	186	
श	185	
०	185	
हा	181	
दा	175	
बी	175	
भो़	174	
हे	174	
७	173	
शा	172	
थे	171	
छो़	163	
९	160	
ढो़	151	
पो	150	
खो़	149	
फे	149	
ठ	137	
द्‌	137	
फु	137	
शी	134	
शै	132	
ङो	128	
धे	123	
ली़	122	
लो़	120	
खे	117	
ठो	106	
धो	96	
की़	88	
टी	88	
ब्‍	84	
ऊ	79	
बो़	79	
था	76	
धु	69	
का	65	
फा	64	
द्	61	
चु	60	
भो	59	
टी़	56	
ग्	48	
फ्	47	
घे	46	
डी़	45	
फी़	45	
वी	45	
जु	44	
भा	44	
जी़	42	
ढी़	40	
थी़	40	
ही़	40	
चा	39	
घी	37	
भी़	35	
फ्‌	34	
चे	33	
टा	32	
डा	32	
ढा	32	
धी	32	
फो़	32	
थ्‍	28	
जा	27	
ठी़	26	
ठु	26	
डो़	24	
घी़	22	
शे	21	
ग्‍	19	
घा	19	
वु	18	
सै	17	
गी़	15	
रो़	15	
खा	14	
खै	14	
थ्	14	
भे	14	
मै	12	
ङी़	11	
वा	11	
कै	9	
री़	9	
टै	8	
यै	8	
नै	7	
लौ	7	
छा	6	
झ	6	
श्‍	6	
लै	5	
व्‍	4	
शो	4	
गै	3	
ज्	3	
ठो़	3	
य्‍	3	
क्‌	2	
छी़	2	
झो	2	
मौ	2	
श्	2	
है	2	
झ्	1	
ठा	1	
ती़	1	
पै	1	
पौ	1	
फै	1	
म्‌	1	
रै	1	
