cluster	count	casing patterns
ॽ	157515	
ङ्‌	132949	
क्‍	103990	
ङ्	74669	
बा	62520	
आ	61239	
म्‍	60622	
हा	56296	
न्	53974	
मे़	52796	
ले़	52106	
न्‍	47783	
ल्‍	46840	
मा	42793	
खे़	42034	
के़	40040	
नि	35929	
कु	35877	
रे़	35865	
सि	33312	
या	31740	
प्‍	31675	
क्	30953	
सा	30642	
त्	28905	
ने़	28807	
वा	27752	
ला	25360	
इ	23879	
तु	22944	
खु	20888	
ना	20759	
हे़	20743	
सु	20203	
रो	20157	
नु	18852	
य	18305	
ओ	17607	
दा	17132	
ल	17022	
म	16009	
ये़	15833	
र	15714	
गा	15674	
पा	15593	
रि	14381	
लो	14214	
क	13991	
त्‍	13503	
मि	13118	
मो	12591	
म्	12368	
गु	11750	
से़	11726	
ङि	10645	
रु	10509	
गे़	10368	
ह	9831	
चो	9653	
छि	9303	
वे	9084	
रा	8879	
खि	8736	
गि	8565	
ए	8510	
ता	8367	
स	8087	
यु	7992	
बे़	7927	
ग	7838	
फु	7585	
पाः	7515	
हि	7498	
ते़	7195	
व	6821	
अ	6780	
त	6763	
पि	6758	
स्‍	6737	
बे	6705	
हु	6644	
से	6442	
दि	6236	
ति	6226	
बि	6041	
पो	6039	
ब	6000	
कि	5765	
याः	5760	
खा	5699	
लु	5616	
थे	5435	
फा	5350	
दे़	5253	
लि	5115	
दु	4956	
न	4910	
यो	4802	
द	4711	
भे़	4695	
क्‌	4571	
ङा	4562	
थि	4544	
के	4405	
मु	4374	
प	4264	
जो	4244	
का	4198	
धा	4119	
छा	4103	
जा	4094	
बो	4040	
खे	3969	
स्	3913	
था	3883	
थ	3871	
नो	3641	
पे	3509	
चोः	3429	
नाः	3427	
भा	3397	
ग्	3382	
गे	3381	
को	3323	
ब्‍	3131	
प्	3080	
जे	3047	
ज	3023	
नुः	2894	
बाः	2632	
सो	2610	
इः	2436	
दे	2436	
चा	2435	
छु	2385	
साः	2309	
ङो	2305	
दो	2293	
पोः	2264	
ङे	2209	
मेः	2096	
निः	2076	
म्‌	1995	
बेः	1989	
भ	1966	
सेः	1955	
फे़	1918	
धि	1909	
जोः	1888	
घु	1869	
जु	1861	
ङे़	1857	
उ	1782	
हो	1774	
वाः	1715	
खो	1625	
ने	1539	
लाः	1526	
तोः	1513	
र्	1448	
ख	1441	
घो	1414	
लः	1412	
बु	1401	
ध	1380	
थे़	1373	
घे़	1332	
ब्	1291	
केः	1276	
ते	1252	
पु	1226	
छे़	1225	
फे	1212	
फ	1208	
पे़	1189	
हाः	1172	
च	1170	
न्‌	1137	
चु	1113	
थाः	1112	
चि	1074	
घ	1068	
थो	1067	
चे़	1049	
से़ः	1042	
कोः	1032	
धु	1022	
जि	1002	
च्‍	993	
०	940	
मे	936	
थु	915	
पेः	914	
बोः	889	
यि	887	
धो	882	
भो	880	
धाः	876	
तो	869	
भु	864	
घा	842	
मिः	833	
धे	828	
फे़ः	792	
ख्	790	
ले़ः	790	
थ्‍	773	
दाः	762	
धे़	756	
हः	745	
फो	728	
ताः	727	
दोः	676	
उः	655	
माः	645	
सः	635	
वे़	618	
द्‌	616	
यः	611	
ए़	608	
धेः	606	
सिः	578	
रे़ः	555	
हेः	555	
लोः	544	
एः	527	
मे़ः	525	
घेः	521	
हे	515	
ओः	511	
जाः	493	
गेः	478	
सुः	475	
रे	451	
ङु	448	
रः	444	
जे़	438	
भे	436	
ग्‍	418	
भ्‍	410	
योः	403	
होः	398	
भेः	392	
फोः	388	
आः	374	
जिः	373	
राः	361	
चाः	358	
ज्‍	357	
नः	349	
गोः	346	
धोः	342	
थोः	329	
गो	322	
अः	321	
रिः	304	
युः	302	
हिः	297	
भाः	296	
सोः	287	
लेः	276	
ध्‍	268	
दिः	266	
काः	263	
ये़ः	261	
१	261	
घे	258	
फ्	254	
ङे़ः	251	
मुः	246	
ले	239	
भोः	232	
वेः	229	
खेः	223	
लिः	221	
देः	220	
२	216	
चिः	209	
फः	199	
हुः	196	
छ	192	
र्‍	186	
तिः	180	
थेः	176	
फ्‍	175	
फाः	172	
गाः	171	
द्	166	
लुः	164	
ये	162	
फि	161	
सै	160	
हे़ः	160	
भ्	158	
५	152	
छ्‌	151	
थुः	148	
पः	139	
घि	137	
छे	136	
गुः	130	
खाः	129	
नै	129	
४	129	
थः	127	
जः	124	
भः	121	
जेः	117	
कुः	112	
तेः	111	
तः	105	
खुः	103	
३	102	
खे़ः	101	
चे	99	
ख्‍	98	
थिः	95	
फिः	94	
फेः	94	
भिः	94	
प्‌	90	
घिः	89	
तुः	86	
६	80	
खोः	76	
खः	75	
घुः	75	
थे़ः	74	
ते़ः	73	
धः	73	
खिः	72	
चै	70	
ने़ः	70	
रुः	69	
छाः	68	
७	68	
चुः	67	
रोः	65	
छेः	63	
पे़ः	63	
चः	62	
भे़ः	61	
बिः	60	
ज्	55	
कै	54	
दः	54	
रेः	54	
८	54	
घोः	52	
बे़ः	52	
घाः	50	
दुः	49	
घे़ः	47	
पुः	44	
जुः	43	
ऐ	42	
जे़ः	40	
छो	39	
धिः	37	
दे़ः	36	
कैः	33	
जै	33	
थ्	33	
किः	32	
छे़ः	31	
छोः	31	
भि	31	
गः	30	
गिः	28	
तै	28	
बः	28	
९	25	
बौ	24	
मः	22	
लै	22	
चेः	21	
छुः	21	
मै	21	
बुः	19	
भै	19	
येः	19	
य्‍	19	
कौ	18	
ङाः	18	
धे़ः	18	
रौ	18	
छिः	16	
सैः	16	
चैँ	14	
ऩे	13	
गे़ः	12	
घ्	12	
पिः	12	
वि	12	
दै	11	
है	11	
खै	10	
ङ	10	
नोः	10	
वे़ः	10	
घः	9	
धुः	9	
रै	9	
छ्	8	
हौ	8	
ए़ः	7	
फुः	7	
ऱे	7	
ङेः	6	
चे़ः	6	
भुः	6	
क़े	5	
गै	5	
गैः	5	
म़े	5	
आँ	4	
कः	4	
बै	4	
एे	3	
के़ः	3	
चैं	3	
छः	3	
छ्‍	3	
पौ	3	
मौ	3	
रू	3	
वो	3	
ध्	2	
नैः	2	
वै	2	
व्‍	2	
ह्‌	2	
आं	1	
ओे	1	
कौः	1	
ख़े	1	
गौ	1	
ङ़े	1	
चाे	1	
चौ	1	
च्	1	
छ़े	1	
त़े	1	
त़ेः	1	
ताे	1	
त्‌	1	
नि‌	1	
पै	1	
फै	1	
ब्‌	1	
भ़े	1	
म़ेः	1	
याे	1	
राे	1	
ल़ेः	1	
लाे	1	
लैः	1	
लौ	1	
ल्	1	
वः	1	
ह़े	1	
ि	1	
