cluster	count	casing patterns
ǝ	92739	
a	72171	
i	68624	
n	65528	
e	60052	
k	55899	
o	55254	
b	49824	
s	49335	
t	48679	
u	44660	
y	43852	
l	40632	
m	32340	
f	27210	
ɛ	24189	
ɔ	21735	
d	15471	
w	11794	
p	10236	
á	4109	
é	3212	
í	2913	
ó	2892	
ú	2709	
r	2401	
ɔ́	1363	
h	874	
ń	810	
ã	333	only_lower
g	260	
v	92	only_lower
ɔ̃	79	only_lower
ũ	52	only_lower
z	36	
1	32	
2	16	
0	15	
4	13	
6	10	
3	7	
5	6	
9	6	
ĩ	5	only_lower
ɛ́	5	only_lower
ḿ	4	only_lower
à	3	only_lower
8	2	
ẽ	2	only_lower
ɛ̀	1	only_lower
ɛ̃	1	only_lower
