cluster	count	casing patterns
n	82418	
a	73694	
ə̂	71387	only_lower
d	53018	
t	41311	
b	38828	
k	38473	
â	38003	
l	32229	
g	28083	
ë	27978	
r	26157	
e	24924	
m	22780	
p	21833	
j	21765	
h	21643	
ê	21418	
ə̈	20803	
o	20711	
y	19640	
ä	19501	
c	19242	
ö	18762	
s	17538	
ô	15208	
z	14532	
w	12570	
ə	11362	
ü	10490	only_lower
u	10246	
û	7523	only_lower
i	7400	
î	7123	only_lower
ï	5275	
ɛ̂	3558	
ɛ̈	2931	
f	1960	
ɨ̂	1309	only_lower
ɨ̈	1261	only_lower
v	1197	
ɨ	1190	only_lower
ʉ̈	1182	only_lower
ʉ	1156	only_lower
ʉ̂	1008	only_lower
ɛ	326	
0	48	
1	22	
2	19	
4	15	
3	11	
7	11	
5	10	
9	9	
6	7	
8	3	
