cluster	count	casing patterns
d	88109	
ɨ	76395	only_lower
r	56213	
à	55761	
a	55297	
k	52553	
n	51219	
t	43689	
á	43011	
é	41102	
l	39691	
h	38166	only_lower
m	29396	
ó	27907	
y	25173	
o	23783	
s	20413	
ò	20396	
g	19934	
ɨ̀	18477	
b	18032	
e	17145	only_lower
z	16902	
ɨ́	16488	only_lower
è	14060	
ì	13816	
í	13210	only_lower
ꞌ	9835	only_lower
i	9485	only_lower
ú	9418	only_lower
p	8204	
v	6498	
w	5895	
u	5503	only_lower
f	4440	
ù	3474	
ä́	846	only_lower
ǐ	816	only_lower
ǎ	701	only_lower
ŋ	171	only_lower
1	160	
ä	126	only_lower
2	55	
ɨ̌	49	only_lower
4	42	
3	36	
ǒ	36	only_lower
5	23	
6	23	
0	18	
8	17	
7	15	
9	13	
ä̀	12	only_lower
ě	3	only_lower
ǔ	2	only_lower
