cluster	count	casing patterns
ས	58904	
ག	43376	
ང	38775	
ན	38257	
ད	35278	
ལ	34589	
བ	25756	
མ	20787	
འ	12390	
ཀྱ	11159	
དེ	10738	
པ	10657	
ཡི	10266	
ར	10130	
གི	9376	
འོ	7858	
རེ	7785	
ཁོ	6970	
འི	6919	
ཀྱི	5694	
གོ	5057	
ཡ	4809	
མི	4779	
དུ	4440	
ཁ	4315	
ཁྱེ	3706	
བྱ	3652	
སྨྲ	3642	
རི	3295	
ཆོ	3258	
ཀ	2620	
པོ	2616	
གྱི	2594	
ཅི	2463	
བྱེ	2256	
སུ	2165	
ཀོ	2152	
ཡེ	2028	
བོ	2022	
མེ	2017	
རུ	1993	
སོ	1968	
ཐུ	1946	
ཐོ	1938	
ཤུ	1895	
ཛ	1818	
ཏེ	1816	
རྒྱ	1807	
ཆེ	1706	
ཉི	1501	
ལེ	1437	
ཞ	1430	
མོ	1384	
ཤི	1303	
དོ	1277	
ཏ	1222	
ཤ	1203	
ཁྱོ	1196	
དི	1195	
བྱུ	1126	
ཞུ	1121	
ཚོ	1116	
སྟེ	1100	
སེ	1098	
ཁྲི	1082	
ཚ	1054	
ཟ	1029	
ཙོ	1023	
ཤེ	995	
བུ	968	
ཅོ	965	
ཧ	953	
མུ	938	
ཐ	932	
ལུ	920	
གྲོ	867	
ཡོ	860	
ངོ	842	
ནི	806	
མཱ	801	
ཨ	763	
སྡ	751	
ལོ	738	
ཕེ	730	
ཞི	705	
སྐོ	705	
ཆ	692	
ཨེ	653	
ཅ	644	
ཤོ	641	
ཕྱི	637	
སྟོ	604	
ཉེ	596	
རོ	593	
ཅུ	587	
ཟི	584	
ཉ	580	
དཱ	568	
འེ	560	
དྲ	534	
སྡུ	525	
འུ	523	
ཇི	508	
ཡུ	507	
ཟོ	504	
ལི	498	
གུ	474	
བྲ	457	
པེ	455	
ལྟ	453	
ཏུ	451	
ཧུ	438	
ཆུ	437	
སྐྱེ	436	
སྐྱོ	433	
སྐུ	432	
རྩི	425	
སྐ	421	
ཡཱ	416	
སྡི	416	
རྩ	408	
གྲ	396	
བྲི	386	
ཙ	374	
བི	373	
རྟེ	371	
ཏོ	364	
ཀི	360	
དྲི	350	
སྤུ	332	
སླ	327	
སྒོ	321	
ཚེ	320	
ཕ	318	
རྒྱུ	318	
ཏི	312	
རྗེ	311	
རྟ	306	
ཕྱོ	296	
ཕྲུ	296	
ཕོ	294	
སྲ	294	
ཕུ	292	
ཕྱ	272	
སྲོ	262	
ཁྲུ	259	
སློ	257	
བློ	250	
གྲུ	249	
ཕི	244	
ཏྲོ	239	
ཛུ	230	
སི	228	
ཐེ	223	
ནུ	220	
ནོ	220	
ཆི	216	
ལྷ	215	
སླེ	205	
ཇ	203	
སྲུ	203	
རྫ	197	
དྲུ	190	
རྗི	186	
སྡོ	182	
སྣ	181	
སྲི	180	
བེ	177	
ཁྲ	176	
སྐྱ	175	
ཕཱ	173	
སྒྲི	173	
ཞེ	172	
མྱ	170	
ཀུ	169	
རྒ	163	
ཁྲོ	148	
སྙི	145	
ཀེ	142	
སྨོ	140	
རྩེ	137	
ཙུ	135	
བྱི	134	
རླ	129	
སྒྲ	128	
ངུ	122	
རྡོ	122	
སྤ	122	
ཁུ	121	
ལྟོ	121	
ཁྱི	117	
ཚུ	113	
གྱ	111	
པི	111	
ཕྲ	104	
ལྡ	103	
དྲེ	102	
སྒྱུ	97	
སྤྱོ	93	
སྤྲོ	92	
བཱ	91	
བྲུ	91	
སཱ	91	
ཧེ	91	
ཨུ	91	
གྱུ	90	
པུ	85	
ཅེ	84	
སྔ	83	
ཟླ	80	
ནཱ	79	
ཛོ	79	
སྐྲ	79	
སྒྲུ	79	
ཨི	79	
ལྕ	78	
གྱོ	77	
ཚི	77	
གྱེ	75	
རྐ	74	
ཟུ	71	
ལྔ	71	
གླི	69	
སྦྱི	69	
གྲི	68	
གླེ	68	
རྒུ	68	
ཟེ	67	
རྙེ	66	
ཞོ	65	
གེ	64	
ཊ	64	
ཛེ	64	
ཇུ	63	
སྨ	63	
ཀྱོ	62	
དཱེ	62	
ནེ	62	
སྒུ	60	
རྐྱ	59	
སྤོ	59	
མྱོ	58	
བྲོ	57	
རྡ	57	
བྱོ	55	
རྐུ	55	
སྐྱུ	55	
སྣུ	55	
བྲེ	52	
ལྤ	52	
ཕྱུ	51	
ཁྱ	50	
སྤྱ	50	
སྟི	49	
སྤྲ	49	
ལཱ	48	
སླུ	48	
ཀྲོ	47	
རྫོ	47	
བླུ	46	
རླུ	46	
སྤྲེ	46	
ཕྲོ	45	
སྒྲོ	44	
དྲོ	42	
རྩོ	42	
སྦ	42	
རྡུ	40	
རྙི	39	
ལྡུ	39	
ཇེ	38	
ཐི	38	
རྨ	38	
ཨོ	37	
རྒྱོ	36	
གླུ	35	
གྷི	35	
ཇོ	35	
ཏྲ	35	
ཐཱ	35	
རྔ	35	
གློ	34	
ལྷི	34	
སྐྱི	34	
རྫི	33	
སྤྱི	32	
ཉོ	31	
ཀྱུ	30	
གླ	30	
ཙེ	30	
ཉུ	29	
རཱ	29	
སྟ	29	
སྨྲི	28	
སྲེ	28	
ལྷོ	27	
༡	26	
ཛི	26	
རྭ	26	
སྨྱུ	26	
ཀཱ	25	
ཀྱེ	24	
ཐྲ	23	
བླ	23	
ལྕེ	23	
སྨྲོ	23	
པཱ	22	
ཀྲུ	21	
སྦྱ	21	
ཙི	20	
རྙོ	20	
རྩྭ	20	
སྦྲུ	20	
༦	19	
ཀྲ	19	
ཁྱུ	19	
ཝི	19	
རྟོ	19	
སྙེ	19	
དཱི	18	
པཱི	18	
སྣེ	18	
སྦྱོ	17	
ཧོ	17	
༥	16	
ཏཱ	16	
པྱ	16	
སྣོ	16	
ཚྭ	15	
སྨུ	15	
༠	14	
དཱོ	14	
ཝ	14	
རྩུ	14	
སྔོ	14	
ཁེ	13	
མཱི	13	
རྐྱེ	13	
རྦ	13	
སྙ	13	
༢	12	
ནཱེ	11	
རྡི	11	
ཨཱི	11	
ཨཱོ	11	
གྲེ	10	
རྐྱོ	10	
སྒ	10	
སྨྱོ	10	
ཧྲུ	10	
ཨཱ	10	
དྭ	9	
སྐེ	9	
སྡེ	9	
༤	8	
ཏྲི	8	
པྲ	8	
རྣོ	8	
ལྗ	8	
སྦེ	8	
ཧྲ	8	
ཀློ	7	
རྐེ	7	
རྒོ	7	
རྣ	7	
སཱེ	7	
༣	6	
ཀྲེ	6	
ཁི	6	
གཱ	6	
དོོ	6	
ནཱི	6	
རྙ	6	
རྫེ	6	
ལྐུ	6	
ལྡེ	6	
ཀྲི	5	
ལྕོ	5	
ལྡི	5	
སྒྱེ	5	
སྤྱུ	5	
སྤྲུ	5	
སྦྲ	5	
༧	4	
གཱོ	4	
ཐཱི	4	
རྐོ	4	
ལྦུ	4	
གིི	3	
ཕྲེ	3	
ཝེ	3	
ཟཱ	3	
རྟི	3	
སཱོ	3	
སྙོ	3	
སྦོ	3	
ཧི	3	
༩	2	
ཀླ	2	
ཁོོ	2	
ཆེེ	2	
ཏྲེ	2	
མཱེ	2	
ཞྭ	2	
ཡཱི	2	
ཡཱུ	2	
ཡིི	2	
རེེ	2	
རྗོ	2	
རྨུ	2	
རྨོ	2	
ཤཱ	2	
སྙུ	2	
སྦི	2	
