cluster	count
r	55925
á	49606
ĩ	48640
d	47189
ꞌ	44527
ã	41035
í	38078
a	32660
l	31960
b	28838
i	27117
k	25543
n	24842
m	24452
g	20302
é	19852
s	18659
ó	18483
j	17185
ị́	16410
u	15631
ị̃	12844
t	11421
z	11185
p	11084
ũ	9533
ọ́	9114
ú	7927
ụ́	7781
ŋ	7358
ụ̃	7348
ị	6532
e	6220
ẽ	6020
õ	5666
ụ	5550
c	5539
ẹ́	4710
v	4430
y	4321
â	4199
f	3543
w	3442
o	3282
ọ	3204
ị̂	2830
î	1640
ẹ̃	1443
ọ̃	1129
h	830
ụ̂	429
ô	219
û	89
ộ	70
ê	68
ẹ	37
0	33
ệ	19
1	10
6	5
2	4
4	3
3	2
5	1
7	1
8	1
9	1
