cluster	count	casing patterns
क	38749	
र	28446	
स	19736	
न	17911	
ल	17076	
त	16293	
अ	15231	
ह	14635	
भ	14128	
प	12289	
म	11721	
य	10429	
हि	8992	
ओ	8059	
आ	7519	
मे	7509	
रा	7231	
ऽ	6744	
व	6144	
ब	6113	
केँ	5356	
जे	5348	
का	5278	
नि	5105	
ए	5028	
ना	4853	
सँ	4729	
बा	4717	
ज	4670	
ग	4591	
छि	4554	
छ	4406	
ला	3924	
हाँ	3803	
दे	3728	
र्	3633	
थि	3574	
श्‍	3497	
प्	3436	
ख	3346	
जा	3240	
न्‍	3109	
स्‍	3022	
वा	2946	
मा	2863	
त्	2793	
हु	2701	
छी	2699	
वि	2674	
ले	2665	
ता	2557	
द	2543	
इ	2393	
ने	2274	
शु	2266	
औ	2230	
कि	2199	
तँ	2054	
उ	2045	
ध	1988	
च	1980	
हो	1979	
दा	1928	
यी	1925	
गे	1912	
रि	1888	
लो	1844	
से	1834	
ई	1833	
ष्‍	1754	
या	1736	
ति	1734	
त्‍	1702	
श	1606	
मु	1593	
सा	1568	
ट	1566	
पा	1554	
हा	1448	
ण	1395	
चा	1385	
द्	1382	
रो	1335	
सी	1313	
सं	1285	
दि	1280	
रै	1247	
लि	1228	
री	1223	
हुँ	1169	
सु	1135	
पु	1134	
है	1077	
को	1071	
रू	1070	
के	1045	
थ	981	
भा	965	
भे	929	
ड़	920	
क्	885	
ष	875	
बि	873	
नु	868	
की	859	
म्‍	858	
टा	850	
नो	808	
पू	794	
बै	794	
भु	791	
रे	762	
शि	759	
हू	750	
दू	743	
पि	707	
ठा	706	
क्‍	702	
चि	695	
छु	693	
घ	685	
जी	675	
दो	665	
ल्‍	655	
ली	651	
जँ	629	
धा	609	
ते	592	
नी	590	
दी	581	
बु	581	
मि	581	
तु	579	
सि	579	
शा	573	
रु	571	
खि	547	
यो	547	
तो	534	
ही	534	
बे	524	
ठ	516	
मी	511	
धि	501	
ड	497	
लै	486	
खा	483	
कै	480	
ड़ि	478	
ण्‍	475	
गा	470	
फे	463	
मो	463	
नै	461	
जि	456	
फ	455	
यु	454	
था	449	
तै	446	
वी	443	
व्‍	406	
लु	403	
ढ़	396	
ती	385	
दु	374	
दै	374	
ड़ा	364	
छै	362	
च्‍	361	
प्‍	353	
बी	349	
पौ	346	
णेँ	342	
षा	340	
ज्	335	
ञा	335	
कु	333	
छो	327	
जो	324	
ज्‍	319	
भो	308	
टि	307	
खू	296	
मू	294	
तेँ	290	
काँ	289	
हे	289	
झ	288	
यू	283	
थ्‍	279	
नू	277	
हेँ	265	
गु	250	
छा	250	
यौ	246	
गि	241	
सो	236	
भी	230	
टे	218	
टी	215	
तोँ	215	
ये	213	
वे	209	
मृ	207	
गी	205	
गो	188	
श्	186	
पी	185	
हूँ	183	
खै	173	
दृ	172	
पृ	172	
ठी	169	
पै	169	
धी	164	
भेँ	162	
ढ़ि	161	
शी	158	
चु	157	
कृ	151	
ठौ	151	
ध्‍	149	
वै	149	
स्	149	
बू	146	
खु	143	
मुँ	136	
छाँ	133	
फि	132	
सै	129	
ऊ	127	
हँ	127	
अं	125	
आँ	125	
गाँ	125	
णा	124	
