cluster	count	casing patterns
a	197409	
n	91181	
ǝ	78745	only_lower
m	58726	
k	46050	
i	43934	
u	43112	
l	33991	
g	30580	
r	30437	
s	26237	
ɓ	25493	
e	24742	
w	20754	
o	16931	
b	15646	
t	14643	
d	14374	
y	14021	
p	13302	
à	9778	
c	9396	
ǝ̀	7242	only_lower
ɗ	5052	
ì	3984	
h	3192	
z	2751	
ŋ	1979	only_lower
á	1420	only_lower
j	1101	
ú	967	only_lower
f	921	
ā	466	only_lower
ə	413	only_upper
ǝ́	269	only_lower
ū	256	only_lower
ù	235	only_lower
í	189	only_lower
ǎ	153	only_lower
î	144	only_lower
è	126	only_lower
é	71	only_lower
v	60	only_lower
â	58	only_lower
û	49	only_lower
ǔ	47	only_lower
ê	39	only_lower
ě	33	only_lower
0	19	
ó	18	only_lower
1	12	
4	9	
6	6	
ô	6	only_lower
ǒ	6	only_lower
2	5	
3	3	
5	3	
7	3	
9	2	
