cluster	count	casing patterns
ɨ	125338	
y	120510	
a	115202	
j	99500	
c	86999	
n	59892	
t	55363	
i	54779	
m	54590	
d	47155	
u	46714	
o	45005	
h	43120	
e	42123	
x	40171	
p	30559	
g	24315	
b	19295	
s	18558	
z	12388	
ñ	11876	
ä	9896	
r	5959	
ü	5364	
ö	3454	
l	3434	
ú	3396	only_lower
ɨ̈	3334	only_lower
ë	2330	only_lower
í	1795	only_lower
ó	1789	only_lower
ï	1406	only_lower
á	1403	only_lower
é	1017	only_lower
q	908	
ɨ́	782	only_lower
f	479	
v	267	
k	16	only_lower
w	3	only_lower
ś	2	only_lower
ɨ̃	1	only_lower
