cluster	count
n	50702
m	49758
ə	45053
ə́	42757
b	41408
w	40233
g	34855
á	33502
a	30240
s	29777
y	27866
d	27638
l	26074
ú	23008
í	22343
ŋ	19144
u	17408
k	15603
j	12823
h	11684
i	11350
ʉ́	11320
c	9825
ɛ	9825
ʉ	9322
ɨ́	9318
ɛ́	8993
ɔ	8681
ɨ	8569
o	7811
ɔ́	7744
é	7458
t	7316
â	6318
î	5060
z	4402
ó	3875
p	3627
f	3403
ɛ̂	3327
e	2638
r	2448
ɔ̂	1827
ɛ̧	1645
û	1614
ɔ̧	1369
ɨ̂	1136
ə̂	950
ô	890
ɔ̧́	855
ʉ̂	799
ɛ̧́	412
v	380
ê	300
ɛ̧̂	275
ɔ̧̂	209
1	128
2	56
3	32
6	28
ə̌	28
4	19
0	16
ǔ	16
5	15
8	11
7	10
ǎ	9
9	7
ǐ	2
ǒ	2
ʉ̌	2
ɛ̌	1
