cluster	count	casing patterns
n	56330	
e	51664	
é	51443	only_lower
b	38785	
m	29233	
a	25525	
è	22008	
d	20290	
l	18389	
s	18008	
à	17209	
y	17064	
t	15785	
g	15601	
k	15307	
ŋ	14630	
h	14327	
ɔ	14072	only_lower
ɔ́	13735	only_lower
á	13017	
r	12820	
u	12575	only_lower
i	12560	
ò	12443	only_lower
ɔ̀	11215	only_lower
w	11060	
o	10503	
í	10469	only_lower
c	10011	
â	8603	only_lower
j	8276	
ù	7205	only_lower
ú	6465	only_lower
ê	5027	
ì	4935	only_lower
f	4622	
ó	2085	
ô	1796	only_lower
v	1788	
ɔ̂	1404	only_lower
î	1300	only_lower
p	1029	
û	713	only_lower
ë	1	only_lower
