cluster	count	casing patterns
n	134382	
ə̄	64222	only_lower
y	58691	
g	58670	
ə	48350	
m	41174	
k	40212	
s	37815	
ē	36819	only_lower
r	35581	
b	35498	
a	30052	
d	29989	
ə̀	28769	only_lower
ā	26820	only_lower
w	25838	
t	25264	
l	23434	
u	22662	
e	18941	
à	18440	only_lower
ì	12254	only_lower
ɛ	11612	
i	8943	
p	8519	
o	8474	
ū	7637	only_lower
z	7326	
ɔ	7267	only_lower
ī	6092	only_lower
è	5341	only_lower
h	5056	
ù	4924	only_lower
j	4866	
ɛ̄	3825	only_lower
ɔ̀	3369	only_lower
ɔ̄	3337	only_lower
c	3327	
ɛ̀	3228	only_lower
v	2321	
f	2001	
ə̆	1759	only_lower
ɛ̂	1075	only_lower
ō	828	only_lower
ɔ̆	810	only_lower
ò	566	only_lower
ŭ	463	only_lower
ɛ̆	388	only_lower
ĕ	373	only_lower
m̄	310	only_lower
ă	264	only_lower
â	212	only_lower
ĭ	99	only_lower
ê	70	only_lower
û	34	only_lower
ɔ̂	30	only_lower
ô	28	only_lower
0	19	
m̀	19	only_lower
î	13	only_lower
é	12	only_upper
ə̂	12	only_lower
ŏ	10	only_lower
2	7	
1	6	
4	6	
6	5	
7	1	
