cluster	count	casing patterns
n	179466	
ꞌ	151524	only_lower
á	90737	
i	77183	
a	75560	
e	62637	
k	60424	
r	54233	
u	51535	
s	47555	
t	46262	
í	44187	
j	42142	
ú	37233	only_lower
a̱	36626	only_lower
v	35565	
u̱	35404	
y	33972	
e̱	27529	only_lower
o	26973	
ɨ	26828	
ñ	22720	
c	19079	
i̱	18669	
h	16733	
ó	12578	only_lower
é	10869	
m	10209	
ɨ́	8530	only_lower
d	6687	
x	5598	
l	4628	
ɨ̱	3524	only_lower
b	2252	
p	2082	
o̱	1699	only_lower
f	870	
g	864	
1	365	
0	362	
z	257	
2	234	
q	189	
4	138	
3	101	
5	78	
9	65	
6	62	
7	62	
8	42	
˻	3	
˼	3	
