cluster	count	casing patterns
a	58029	
k	51732	
n	50189	
d	44099	
ɨ	44071	only_lower
t	39023	
ə	37389	
l	34290	
i	32631	
j	31528	
é	27514	only_lower
o	26353	
e	23343	
r	23220	
ɔ	23031	
m	22982	
g	20876	
ꞌ	17019	
ɨ́	15171	only_lower
u	14993	
s	13978	
ḛ	12941	
b	12699	
y	11809	
ɓ	9542	
w	9468	
è	7408	only_lower
p	7244	
á	5689	only_lower
à	5164	
ɨ̀	5159	only_lower
a̰	4905	
ɔ̰	1849	only_lower
ò	1391	only_lower
n̰	1386	only_lower
ó	1231	only_lower
ə̰	1106	only_lower
ə́	899	
ḭ	735	
ɔ̰̀	716	only_lower
ɔ́	682	only_lower
á̰	396	
ɛ	327	
à̰	213	only_lower
ṵ	145	only_lower
1	124	
ə̀	105	only_lower
ḛ̀	66	only_lower
ú	66	only_lower
ɗ	58	only_lower
2	46	
3	37	
4	26	
ɔ̰́	26	only_lower
ə̰́	26	only_lower
ù	24	only_lower
6	22	
5	20	
0	19	
8	14	
9	13	
7	10	
ɔ̀	7	only_lower
ṵ́	4	only_lower
ḭ̀	2	only_lower
ə̰̀	2	only_lower
ɛ̰	1	only_lower
