cluster	count	casing patterns
i	90406	
a	74145	
n	70026	
e	55920	
b	53336	
m	50305	
g	48615	
y	45711	
h	36148	
ə	33747	only_lower
ì	31743	
w	28948	
à	23121	
ʼ	22602	
ə̀	21587	
t	19469	
d	18805	
ŋ	17493	
k	17177	
ɔ	16704	
u	16062	
r	15002	
s	14630	
c	12881	
o	9522	
ɔ̀	9475	only_lower
z	9023	
è	8974	
f	8628	
j	5640	
ò	4247	
ù	3473	only_lower
p	2495	
ḛ	1907	only_lower
o̰	1716	only_lower
l	1625	
ə̰	1496	only_lower
ḛ̀	659	only_lower
ɔ̰	262	only_lower
ḭ̀	181	only_lower
ḭ	160	only_lower
v	145	
a̰	120	only_lower
ɔ̰̀	72	only_lower
à̰	31	only_lower
1	26	
ṵ	24	only_lower
0	15	
2	8	
4	8	
3	7	
8	6	
6	5	
ṵ̀	5	only_lower
ə̰̀	5	only_lower
5	3	
7	3	
9	2	
ò̰	2	only_lower
