cluster	count	casing patterns
र	14524	
ङ	11497	
हो	11173	
या	9335	
की	9033	
न	7582	
ना	7399	
च	7132	
री	6444	
ले	6377	
क	6162	
म	5710	
स	5710	
ट	5630	
न्‍	5539	
को	5128	
जा	5112	
ट्‍	5098	
डे	4963	
प	4826	
ला	4809	
मी	4549	
से	4449	
मा	4385	
खु	4335	
हा	4174	
का	4158	
इ	4101	
रा	3970	
कु	3825	
ये	3779	
टा	3151	
अ	3142	
र्	3116	
डी	3085	
कै	3060	
क्‍	3023	
स्‍	3021	
ल	2917	
वा	2716	
ही	2675	
ङा	2655	
नी	2613	
व	2598	
टै	2208	
भ	2137	
र्‌	2108	
ह	2095	
सा	2076	
बा	2014	
शू	1966	
ल्‍	1937	
छा	1904	
म्‍	1896	
श्‍	1879	
ङ्‍	1828	
खा	1804	
य	1777	
डा	1745	
मे	1728	
ब	1709	
पा	1659	
आ	1554	
यो	1473	
ज	1459	
नु	1373	
सी	1364	
छ	1354	
रु	1224	
हे	1207	
चे	1188	
वि	1060	
प्	1053	
ने	966	
हु	908	
ग	907	
ङु	903	
ठा	895	
त्	890	
सु	887	
प्‍	882	
बी	861	
जै	858	
डु	837	
रौ	830	
ति	782	
गी	755	
टी	738	
रे	736	
ज्‍	722	
ली	720	
हीँ	717	
च्‍	692	
य्‍	671	
गा	661	
ओ	657	
टो	646	
यु	639	
जी	628	
ख्‍	590	
यौ	583	
सो	580	
खी	577	
ची	574	
भा	562	
र्‍	554	
क्	545	
रो	541	
चा	534	
ष्‍	524	
ङौ	518	
ध	509	
द	504	
ए	503	
बे	500	
उ	495	
मु	492	
नै	490	
श	487	
त्‍	480	
व्‍	475	
भु	473	
त	463	
ड	449	
पु	443	
बो	433	
चै	426	
गु	425	
मो	423	
रै	408	
ङै	406	
ता	406	
लो	357	
ख	354	
हू	354	
ड्‍	351	
फ	332	
दा	325	
लै	323	
नौ	315	
भी	312	
घा	309	
ख्	297	
था	293	
बु	286	
ङो	275	
फे	275	
शा	275	
लु	269	
दी	266	
सै	263	
टु	262	
मौ	262	
ष	258	
थ	248	
ठ	241	
रू	240	
षा	236	
द्	233	
शि	228	
धा	224	
दि	219	
ग्‍	218	
ठो	215	
झ	205	
भ्‍	202	
जे	198	
ज्	198	
गे	197	
ढी	196	
सं	195	
ञा	193	
खे	192	
भे	189	
छी	187	
साँ	178	
पी	175	
डो	174	
नो	172	
घो	171	
ब्‍	168	
धि	165	
हौ	161	
लौ	160	
रि	156	
दु	155	
फी	153	
छु	152	
छ्‍	149	
फा	148	
दो	146	
ठी	145	
भो	145	
सौ	142	
टौ	141	
खो	140	
ण	136	
ङ्‌	135	
मै	135	
ती	132	
ट्‌	129	
ङे	128	
झा	121	
डै	121	
घ	118	
ग्	117	
जु	117	
वी	117	
शै	117	
दे	114	
बि	114	
उँ	109	
ढु	108	
स्	108	
घी	107	
ढ्‍	104	
तै	103	
दू	103	
घ्‍	101	
ण्‍	101	
जो	100	
षी	98	
पै	97	
के	95	
गो	95	
छो	94	
झु	93	
ढा	91	
शु	89	
चो	87	
तु	86	
नि	85	
छे	84	
हाँ	82	
झ्‍	81	
है	78	
कौ	77	
जौ	75	
ब्	74	
भू	73	
पि	72	
ध्‍	71	
छै	70	
मि	70	
चु	69	
धैँ	69	
थ्‍	67	
पृ	66	
फो	64	
न्	63	
टे	57	
गौ	55	
डौ	53	
दौ	53	
झो	50	
ढे	50	
याँ	49	
भि	48	
औँ	45	
चाँ	45	
डाँ	45	
ढ	44	
फै	43	
च्	42	
झै	42	
ठु	40	
थी	39	
पौ	39	
शौ	39	
चौ	38	
ट्	38	
ठ्‍	38	
दै	38	
धी	38	
म्	38	
बै	36	
बौ	35	
तौ	33	
पो	33	
ढो	31	
ढ्‌	31	
टि	30	
ढैँ	30	
थौ	30	
शं	30	
मृ	29	
श्	29	
झी	27	
षे	26	
णी	25	
हुँ	25	
२	24	
खाँ	23	
घु	23	
थि	23	
ठाँ	22	
फ्‍	22	
ड्‌	21	
ण्	21	
लि	21	
१	21	
खौ	20	
णा	20	
थे	20	
ठे	19	
बाँ	19	
यै	19	
खै	18	
गै	18	
फौ	18	
कृ	17	
ङ्	17	
षौ	17	
सृ	17	
औ	16	
ठै	16	
धे	16	
भौ	16	
इँ	15	
घृ	15	
थो	15	
फु	15	
४	15	
घुँ	14	
जाँ	14	
ढौ	14	
मू	14	
वै	14	
३	14	
आँ	13	
थै	13	
धै	13	
शी	13	
घे	12	
यी	12	
ल्	12	
कू	11	
णौ	11	
ते	10	
पे	10	
हि	10	
वे	9	
व्	9	
गैँ	8	
पू	8	
वौ	8	
सिं	8	
५	8	
ड्	7	
थु	7	
भाँ	7	
भ्	7	
सि	7	
०	7	
७	7	
काँ	6	
टाँ	6	
ढाँ	6	
शो	6	
कि	5	
ङी	5	
छ्‌	5	
झौ	5	
ठ्‌	5	
ढै	5	
णि	5	
फँ	5	
वो	5	
घाँ	4	
तो	4	
भँ	4	
भै	4	
वाँ	4	
षि	4	
८	4	
घौ	3	
चि	3	
चीँ	3	
छौ	3	
झाँ	3	
ठौ	3	
ठ्	3	
फ्	3	
रं	3	
हँ	3	
ह्‍	3	
एे	2	
एै	2	
कुँ	2	
गि	2	
घ्	2	
झ्	2	
डुः	2	
डोँ	2	
तू	2	
धौ	2	
राँ	2	
वं	2	
शां	2	
शे	2	
९	2	
ँ	1	
औं	1	
क्‍‍	1	
घै	1	
चँ	1	
छी‌	1	
झे	1	
डौं	1	
ढैं	1	
थ्	1	
ध्	1	
न्‌	1	
फि	1	
शाँ	1	
स्‌	1	
ह्	1	
६	1	
