cluster	count	casing patterns
n	120152	
u	70601	
a	69043	
e	67207	
c	61718	
i	60652	
h	50301	
j	48494	
t	43074	
á	40815	
y	29780	
d	29484	
s	28498	
í	27732	only_lower
ú	22550	only_lower
o	21671	
r	21040	
ē	20285	only_lower
ā	16929	only_lower
ɨ	15769	
ū	15655	only_lower
é	12444	only_lower
ñ	11860	
ó	11668	only_lower
v	9058	
m	8481	
q	7343	
ō	6378	only_lower
ī	6026	only_lower
ɨ́	5254	only_lower
ɨ̄	4917	only_lower
l	3945	
g	3555	
p	2558	
x	1767	
b	1583	
z	726	
f	534	
k	14	only_lower
0	3	
4	2	
1	1	
