cluster	count	casing patterns
a	160406	
j	99406	
ä	87019	only_lower
y	82893	
h	80607	
i	79872	
ø	56212	
t	55992	
o	53272	
n	52000	
m	51012	
d	45229	
ꞌ	44213	only_lower
u	43537	
c	38645	
x	35317	
s	30718	
e	27976	
g	22607	
p	22083	
b	17988	
ṉ	14094	only_lower
w	11414	
ñ	8623	
m̱	7985	only_lower
r	6620	
c̈	5830	only_lower
á	5737	only_lower
q	4649	
ú	4154	only_lower
x̱	3733	only_lower
ǿ	3658	only_lower
í	3005	only_lower
l	2609	
ṉ̃	2141	only_lower
ó	1974	only_lower
é	1927	only_lower
w̱	601	only_lower
f	492	
z	276	
v	267	
ü	34	only_lower
k	13	only_lower
ḻ	1	only_lower
