cluster	count	casing patterns
n	157322	
i	97234	
a	85864	
c	76793	
u	64960	
à	64881	
d	63182	
h	61870	
ì	52043	
s	45192	
á	39439	
t	33590	
e	30914	
ù	24973	
í	23450	
v	19975	
o	19931	
m	18590	
y	18242	
x	18020	
è	17544	only_lower
ñ	14961	
ú	13907	only_lower
r	9083	
é	8897	
q	7673	
ó	7021	only_lower
l	6453	
g	4995	
p	4883	
j	3557	
ò	3484	only_lower
b	2239	
â	1486	only_lower
î	1286	only_lower
f	1122	
z	1114	
ˋ	849	
ê	659	only_lower
ˊ	448	
û	275	only_lower
ô	179	only_lower
0	30	
4	12	
ü	10	only_lower
7	9	
9	8	
1	7	
6	7	
2	5	
3	5	
5	5	
k	5	only_lower
8	3	
