cluster	count	casing patterns
n	154932	
ꞌ	144626	only_lower
a̱	114363	
i	79861	
i̱	77010	
a	60051	
k	53022	
u	46989	
d	46923	
t	45616	
e̱	41022	only_lower
u̱	36225	
s	31650	
x	31459	
ñ	22792	
o	18774	
o̱	18079	only_lower
v	15565	
e	12859	
y	12152	
j	12037	
r	11622	
c	10110	
h	8938	
í	8225	only_lower
á	6446	
m	6364	
ú	3724	only_lower
l	2342	
ó	2088	only_lower
p	1444	
ü	1168	
b	1144	
g	1135	
ö̱	840	only_lower
ä̱	725	only_lower
é	667	
ï̱	654	
ü̱	480	only_lower
ï	465	only_lower
ä	389	only_lower
f	352	
z	151	
q	87	
ö	27	only_lower
e̱̱	10	only_lower
ë̱	7	only_lower
á̱	1	only_lower
ë	1	only_lower
ṯ	1	only_lower
