cluster	count	casing patterns
n	113752	
a	104811	
t	73183	
i	61534	
k	61269	
u	57903	
ñ	46511	
ꞌ	41200	only_lower
e	36854	
o	30167	
á	27917	
s	26488	
é	24747	
v	24434	
d	23706	
í	19099	
x	18052	
ā	17802	
ú	12758	
ɨ	11218	only_lower
ō	8820	
ī	8663	
ó	8318	
ū	6841	
ē	5746	
m	5586	
r	4329	
ɨ́	3773	only_lower
j	3463	
ɨ̄	2558	only_lower
l	2122	
c	1854	
p	1399	
b	889	
h	792	
ʼ	672	
g	525	
û	374	only_lower
f	327	
â	217	only_lower
î	145	only_lower
z	123	
q	83	
ô	67	only_lower
y	18	only_lower
ê	6	only_lower
ɨ̂	6	only_lower
