cluster	count	casing patterns
इ	18703	
र	13061	
न	9196	
ला	6107	
ना	5775	
क	5630	
ल्‍	4713	
ल	4210	
स	4128	
र्‌	4114	
प	3409	
ब	3354	
आ	3200	
बा	3150	
न्‍	3118	
नि	3028	
त	3015	
हो	2766	
कि	2649	
के	2598	
ग	2563	
का	2559	
म	2527	
रा	2505	
ति	2214	
मा	2139	
सु	2130	
क्‍	2111	
या	2088	
ह	2086	
रि	2001	
अ	1974	
ने	1901	
दि	1817	
य	1816	
उ	1811	
सि	1660	
स्‍	1574	
पा	1522	
ले	1470	
ये	1448	
छ	1426	
ह्‍	1401	
व	1289	
रो	1273	
त्‍	1242	
छि	1229	
बि	1195	
को	1165	
हा	1153	
कु	1112	
ए	1076	
पु	1068	
जा	1053	
जि	1049	
मु	1049	
तो	1020	
सो	1001	
लि	987	
ज	969	
ता	956	
सा	924	
छे	912	
ब्‍	908	
खा	871	
से	864	
ते	860	
मे	841	
बे	832	
द	827	
वा	820	
दे	806	
चा	789	
भ	776	
ध	768	
ज्‍	763	
दा	739	
म्‍	680	
रु	677	
हे	606	
ग्‍	584	
तु	573	
ख	569	
नु	522	
फ्‍	516	
टा	502	
हु	494	
गि	477	
ट	470	
टो	453	
द्‌	444	
भु	441	
उँ	436	
गा	432	
ड	425	
छु	403	
मो	403	
फ	385	
दु	373	
रे	373	
ख्‍	364	
खि	363	
जु	356	
भा	351	
च	349	
डा	345	
फि	337	
मि	321	
घ	312	
ठा	311	
डि	309	
टि	294	
ठ	288	
लो	285	
छ्‌	282	
ड्‌	276	
प्‍	273	
चे	270	
थ	266	
छा	265	
था	252	
छो	248	
ल्‌	243	
धे	241	
चि	237	
भि	220	
हि	215	
पि	213	
गु	205	
खो	199	
ङ्‌	180	
ट्‌	173	
फे	169	
यो	167	
खे	161	
यु	159	
ओ	155	
भे	149	
दो	147	
ठि	145	
जे	144	
बु	138	
नो	133	
लु	131	
च्‍	125	
ल्	120	
धि	105	
भो	102	
पे	92	
बो	92	
थि	90	
ठ्‌	89	
धा	88	
झ	87	
टे	85	
साँ	82	
आँ	80	
जो	80	
गो	79	
चो	79	
खु	77	
पो	77	
घा	74	
ठो	69	
ट्‍	63	
थे	61	
झु	57	
डो	54	
झ्‍	49	
ढो	49	
ढ्‌	48	
चु	46	
टु	43	
थु	42	
फु	40	
थो	37	
फा	37	
गे	36	
डे	34	
ढि	31	
घो	30	
डाँ	30	
ड्‍	30	
ढ	29	
ङ्‍	28	
द्‍	27	
याँ	24	
झा	23	
पाँ	22	
ढा	21	
सँ	21	
काँ	20	
धु	20	
रुँ	20	
घि	19	
धो	18	
बाँ	17	
डु	16	
ध्‍	16	
खाँ	15	
ढु	15	
घ्‍	14	
झि	14	
इँ	12	
चाँ	12	
जाँ	12	
फो	12	
५	10	
ठ्‍	9	
६	9	
घु	8	
भ्‍	8	
१	8	
गुँ	7	
थ्‍	7	
झो	6	
न्	6	
घे	5	
छ्‍	5	
फिँ	5	
हाँ	5	
हुँ	5	
क्	4	
ङ	4	
डुँ	4	
खोँ	3	
ख्	3	
ज्	3	
ठे	3	
ढे	3	
ढ्‍	3	
फ्	3	
भँ	3	
यि	3	
वाँ	3	
०	3	
२	3	
३	3	
४	3	
गिँ	2	
ग्	2	
त्	2	
दाँ	2	
ब्	2	
हँ	2	
७	2	
कौ	1	
घाँ	1	
च्	1	
छाँ	1	
छ्	1	
जँ	1	
ठु	1	
ठुँ	1	
ड्	1	
म्	1	
सिँ	1	
स्	1	
