cluster	count	casing patterns
ന്	106549	
വ	61197	
ക്	60435	
അ	53278	
ത്	45617	
ക	45000	
നു	40170	
യ	32579	
തി	30197	
കു	29115	
നി	28599	
ടു	27938	
ൽ	27548	
എ	26324	
ന	25137	
ൻ	24725	
റെ	24095	
പ്	23340	
ര	23163	
യി	22952	
ർ	21837	
ങ്	21649	
രു	21617	
ത	21192	
തു	21137	
ച്	19872	
പ	19040	
മാ	18339	
ടെ	17515	
രി	17303	
ണ്	17302	
മ	16392	
ങ	16323	
ല്	16003	
വി	15711	
ല	15248	
യും	14547	
ട്	14049	
ൾ	13672	
ചു	13124	
നെ	13022	
ട	12876	
സ്	11843	
റ	11202	
സ	10943	
യാ	10915	
കാ	10623	
രാ	10525	
ള	10488	
ആ	10483	
നാ	10398	
പി	10315	
പോ	10102	
ടി	9766	
യു	9740	
വാ	9343	
കൊ	9274	
ഇ	9210	
ഞ്	8480	
ചെ	8222	
യ്	7899	
ഹോ	7846	
ള്	7568	
ഞാ	7510	
പു	7139	
മ്	6918	
പാ	6865	
ഒ	6772	
കി	6715	
മി	6662	
മു	6630	
ഉ	6606	
ശ	6588	
രെ	6421	
ളി	6254	
കും	6228	
ച	6223	
തെ	6177	
താ	6119	
ദ്	5839	
നീ	5695	
നോ	5677	
ലെ	5658	
നേ	5370	
കേ	5308	
ളു	5264	
നും	5067	
ഞു	4991	
യേ	4904	
യോ	4881	
റി	4877	
യെ	4862	
രോ	4750	
ണ	4634	
ളെ	4551	
വെ	4449	
രം	4435	
വും	4425	
ലി	4359	
ദ	4339	
കൂ	4041	
ലും	4024	
ണം	3955	
ഷ്	3947	
പെ	3921	
ടാ	3835	
കെ	3827	
ജ	3789	
റ്	3787	
മേ	3753	
ജാ	3729	
ലാ	3729	
ഹ	3700	
ദൈ	3664	
ദി	3429	
ചി	3391	
ഗ	3385	
രും	3273	
ഞ	3258	
വേ	3241	
വീ	3202	
ശ്	3168	
ധ	3132	
ഷ	3132	
ഴി	3081	
ധി	3075	
വു	3018	
ശു	3009	
ടും	2981	
ദാ	2959	
തോ	2934	
ദേ	2843	
ഷി	2792	
സം	2779	
റു	2778	
ലേ	2740	
ഹി	2721	
യം	2620	
മോ	2607	
ലോ	2593	
ഭ	2574	
ഴു	2564	
സി	2486	
സാ	2344	
ളും	2299	
ഗ്	2281	
ഏ	2271	
ര്	2107	
ശി	2099	
ണി	2093	
വ്	1998	
നം	1961	
ഹാ	1918	
ബ	1916	
ലു	1906	
ഈ	1780	
പേ	1777	
ളോ	1737	
ബ്	1700	
കോ	1669	
ശേ	1665	
രേ	1591	
ങി	1584	
തീ	1560	
മൂ	1533	
രൂ	1496	
തും	1490	
ഓ	1487	
ഥ	1454	
ജ്	1442	
വം	1379	
ബാ	1376	
ശാ	1323	
തം	1305	
ഭാ	1304	
തേ	1301	
ഹൂ	1267	
ശെ	1192	
കൈ	1191	
ഭൂ	1187	
മെ	1175	
പൊ	1154	
ണു	1149	
ചാ	1139	
രീ	1126	
ഷം	1126	
വൃ	1046	
ളം	1027	
ലം	987	
ഴ	986	
കം	980	
തൊ	961	
ജീ	937	
ഞി	931	
പം	919	
കീ	854	
ചോ	844	
ദു	844	
ധാ	835	
ശം	833	
ബേ	830	
ഗി	821	
സേ	820	
വോ	811	
ളാ	759	
ബെ	730	
ഥാ	727	
ഫ	725	
ബി	709	
സു	708	
ടം	705	
ഗം	701	
നാം	684	
ഖ	671	
ഹൃ	666	
നൂ	652	
ദോ	636	
കൃ	635	
ഗോ	635	
മീ	627	
യീ	622	
റാ	619	
ഭി	604	
പൂ	595	
ഭു	583	
പീ	581	
ലാം	565	
ദൂ	560	
ഥി	552	
മം	549	
ശൂ	527	
ഠ	520	
ബോ	513	
ഴ്	507	
ചേ	480	
ധ്	477	
ഹം	476	
ഗൃ	469	
ഫ്	464	
സൂ	449	
സീ	444	
യ്‌	433	
റും	424	
ധം	418	
ഭോ	418	
സൈ	418	
സെ	412	
ഷാ	409	
ലീ	401	
ടേ	399	
ശീ	386	
ശൗ	386	
ഖാ	385	
ഫെ	376	
മൃ	376	
യീം	374	
ഊ	367	
ങു	367	
ചും	340	
തൃ	339	
ഴും	335	
യൊ	334	
ഹേ	332	
മൊ	316	
ഡ	314	
ടോ	309	
ഠി	308	
ദെ	302	
റം	300	
ബു	299	
ദീ	298	
ഹീ	298	
ചൊ	296	
തൂ	294	
ഴം	290	
ഖ്	281	
ഭ്	273	
രൊ	271	
ഘ	269	
ദം	269	
ധീ	269	
ബീ	267	
ളേ	267	
ഹെ	264	
സോ	263	
ഷേ	262	
ഞെ	261	
ലൊ	252	
സിം	252	
ജി	247	
റൊ	246	
ശോ	246	
ഗാ	245	
സൗ	245	
ഹ്	243	
ഴെ	235	
ഖം	223	
രാം	220	
ൺ	219	
ണാ	217	
ഫാ	215	
പൗ	211	
ഗു	208	
ഛേ	202	
ബൂ	200	
ഭൃ	200	
വൈ	200	
കാം	195	
യാം	190	
ഴ്‌	185	
ഹു	183	
ഫി	181	
സും	181	
ഘോ	175	
നൊ	173	
മാം	173	
ഛി	172	
ദുഃ	170	
ധൂ	170	
പും	169	
ണും	168	
ടാം	166	
ഭം	165	
ബം	164	
ഥം	155	
ളൊ	148	
റേ	144	
ദൃ	142	
ധൈ	135	
ഖി	130	
ലൂ	129	
ഛ	127	
ഥേ	126	
ഗീ	124	
ഡി	120	
മും	116	
ചീ	114	
ഗേ	111	
ഠം	111	
ലേം	110	
ഷീ	105	
