cluster	count
a	84335
n	51533
b	50573
à	47316
t	45845
e	41540
è	37780
m	33883
l	28646
k	24216
u	23515
s	20789
w	19934
g	18124
ɔ	15400
i	15149
ò	15088
ɨ	14445
ɨ̀	14168
h	11459
y	11261
ê	10672
ŋ	9855
ɔ̧	9577
d	8488
ə	8178
ɔ̀	7098
ɨ̧	7061
o	6081
f	5880
ì	5672
z	5526
ù	3507
ã	2427
u̧	2406
p	2366
ɔ̂	2078
ǎ	1849
j	1751
v	1728
ɔ̧̀	1658
à̧	1606
ȩ	1532
â	1431
ɨ̧̀	1242
ù̧	1225
ě	846
ǎ̧	768
ȩ̀	741
ɨ̌	733
ǒ	724
ɨ̂	640
û	623
c	600
ɔ̌	451
ɨ̧̂	404
î	379
ǐ	361
ò̧	338
o̧	213
â̧	207
û̧	183
ɔ̧̂	178
ȩ̂	150
1	21
ô̧	13
ɨ̧̌	13
2	10
3	9
4	4
0	3
5	3
6	3
7	3
8	3
9	3
