cluster	count	casing patterns
न	22871	
र	21289	
म	15770	
क	15395	
ना	12388	
ता	11797	
इ	10948	
ह्‌	10655	
तो	10082	
ग़	10012	
ह	9382	
त	9298	
अ	9023	
य	8966	
वा	8790	
ओ	8025	
स	7918	
द	7350	
स्	6821	
के	6793	
लो	6065	
व	5966	
ते	5800	
ङ	5788	
प	5343	
ल	5161	
आ	4996	
न्	4952	
सि	4924	
दे	4816	
मा	4751	
रा	4717	
की	4690	
ने	4685	
ळ	4483	
र्	4333	
पो	4057	
दि	3950	
गा	3904	
ला	3840	
रि	3749	
ट	3745	
तु	3744	
या	3744	
वु	3722	
वे	3559	
ये	3519	
बे	3467	
वि	3411	
का	3333	
ति	3284	
सु	3026	
मी	2828	
जो	2703	
कि	2658	
कु	2656	
सो	2603	
मु	2530	
नि	2360	
ले	2312	
बा	2301	
ल्‍	2240	
सा	2237	
दु	2218	
ब	2085	
द्	1949	
ल्	1872	
ए	1817	
ळ्	1806	
जि	1802	
ळि	1777	
पे	1674	
पा	1672	
पि	1571	
डा	1564	
पु	1514	
बो	1480	
रे	1478	
मि	1471	
दा	1457	
हि	1448	
वो	1442	
रु	1395	
ऊ	1381	
य्	1286	
उ	1266	
टु	1262	
ई	1248	
टो	1247	
ज	1227	
च	1183	
जा	1180	
यो	1163	
दो	1140	
से	1133	
जी	1081	
जे	1067	
मे	1057	
नो	1032	
ग्	1031	
को	1025	
ड	1008	
नु	963	
मो	942	
बु	922	
त्	916	
ग़्	908	
यि	896	
रो	893	
लि	893	
सी	885	
ग़ा	877	
टा	877	
कें	875	
गे	814	
डो	788	
आं	779	
इं	749	
नी	737	
ग	718	
उं	707	
टे	688	
लु	677	
सं	668	
क्	664	
ग़ो	652	
बू	638	
व्	626	
हु	622	
प्	593	
गो	515	
हा	509	
चो	506	
म्	450	
चि	438	
गु	427	
पू	414	
हे	405	
टि	399	
ळे	394	
गू	393	
डु	391	
डि	317	
गि	310	
यु	306	
ग़ि	302	
पं	280	
मं	271	
चा	267	
ग़े	261	
में	245	
दी	236	
ळा	234	
ट्	225	
ड्	211	
ग़ु	193	
ङे	185	
कों	183	
वी	179	
चु	164	
रें	163	
अं	160	
बं	158	
ची	155	
ळ्‍	151	
पी	143	
क्‍	135	
कू	131	
गें	131	
डे	120	
ब्	117	
च्	114	
डी	106	
कीं	104	
तू	101	
मूं	101	
बि	99	
ळु	95	
ऐं	86	
री	79	
किं	76	
तें	74	
तिं	72	
0	66	
वें	64	
ङि	61	
नें	60	
हो	59	
ती	58	
ळो	58	
द्‌	52	
सिं	52	
पूं	51	
1	48	
निं	45	
रां	44	
दं	43	
नू	41	
ट्‌	40	
तुं	40	
ङ्	37	
मू	37	
ळिं	36	
गं	35	
कां	34	
पिं	32	
दूं	30	
य्‍	30	
लू	30	
कं	29	
कैं	29	
ग़्‍	28	
पां	27	
4	26	
बों	24	
2	23	
एं	23	
चे	23	
मां	23	
मों	22	
यिं	22	
वां	22	
3	21	
ईं	21	
ङा	21	
मिं	21	
रू	21	
रों	21	
गुं	20	
दू	20	
दिं	18	
दीं	17	
रिं	17	
वं	17	
ङो	16	
5	15	
6	14	
जू	14	
लं	14	
ली	14	
सुं	13	
स्‍	13	
त्‍	12	
पुं	12	
ट्‍	11	
गी	10	
7	9	
9	9	
ऐ	9	
रं	9	
लों	9	
ऊं	8	
गों	8	
ङु	8	
जिं	8	
जु	8	
नं	8	
8	7	
सीं	7	
च्‍	6	
जं	6	
ज्	6	
डुं	6	
यं	6	
तों	5	
पें	5	
बै	5	
लिं	5	
ओं	4	
डू	4	
दां	4	
न्‍	4	
म्‍	4	
यी	4	
विं	4	
सें	4	
गिं	3	
टिं	3	
टें	3	
नों	3	
प्‍	3	
यू	3	
ङिं	2	
चिं	2	
नां	2	
ब्‍	2	
व्‍	2	
हू	2	
ि	2	
ग़ें	1	
ग्‍	1	
टी	1	
डं	1	
डिं	1	
ड्‌	1	
तं	1	
द्‍	1	
नुं	1	
बी	1	
मुं	1	
यें	1	
सू	1	
सोे	1	
हं	1	
हां	1	
ही	1	
