cluster	count	casing patterns
j	129107	
a	114519	
t	111689	
ꞌ	108061	only_lower
e	104713	
n	65701	
e̱	64593	
k	64353	
s	57816	
i	52529	
y	52514	
u	48148	
a̱	47080	
m	47009	
v	44451	
p	35963	
u̱	35520	
x	29855	
d	28904	
o	24398	
o̱	21903	
c	5430	
r	4316	
h	3739	
ñ	3601	
á	3441	only_lower
á̱	2707	
í	2550	
l	2544	
ú	2469	only_lower
ó̱	1836	
ó	1710	
g	1267	
é	1136	
b	1130	
ú̱	699	only_lower
é̱	626	only_lower
f	347	
z	300	
q	88	only_lower
i̱	3	only_lower
1	2	
a̱̱	2	only_lower
w	2	only_lower
0	1	
4	1	
9	1	
