cluster	count	casing patterns
a	252552	
i	166819	
n	147665	
u	94818	
k	67343	
ꞌ	61540	only_lower
d	58973	
o	48417	
r	48391	
x	39785	
t	35378	
v	35155	
s	33510	
ñ	31591	
y	25257	
e	24064	
c	20569	
h	18647	
m	5183	
j	5111	
ú	3109	
l	2970	
ä	1455	only_lower
ü	1413	
p	1261	
b	1166	
í	1159	only_lower
ï	959	
é	768	
ö	683	only_lower
á	525	
à	490	only_lower
ë	420	only_lower
i̱	419	
g	388	
f	377	
ù	316	only_lower
ó	301	only_lower
z	293	
a̱	219	only_lower
e̱	193	only_lower
u̱	178	only_lower
o̱	113	only_lower
ì	105	only_lower
q	95	
ò	17	only_lower
a̱̱	13	only_lower
î	5	only_lower
è	4	only_lower
â	2	only_lower
