cluster	count	casing patterns
a	129886	
i	92445	
n	70622	
e	60536	
ɛ	59952	
u	59643	
w	41572	
y	41045	
k	29690	
ɔ	28978	
p	27537	
g	23988	
l	23647	
o	23635	
b	22229	
r	21290	
m	20455	
s	20394	
h	19412	
t	13558	
ɲ	12710	
d	12657	
f	12123	
ʼ	9939	
ŋ	7337	
j	6722	
c	4645	
z	3098	
x	2303	
è	1900	only_lower
à	1673	only_lower
á	1223	only_lower
ù	1015	only_lower
v	998	
ì	919	only_lower
é	417	only_lower
í	395	only_lower
0	233	
1	177	
ò	142	only_lower
2	98	
4	72	
5	49	
3	48	
ɛ̀	29	only_lower
6	28	
ɔ̀	28	only_lower
7	21	
9	19	
8	18	
ɔ́	13	only_lower
ú	1	only_lower
