cluster	count	casing patterns
a	130085	
e	118135	
u	94521	
i	89264	
o	64832	
k	56591	
p	55058	
t	51872	
y	51134	
m	47676	
j	42556	
b	41763	
w	30710	
s	30080	
n	28213	
c	26007	
g̃	25858	
ũ	24507	
d	23619	
ẽ	22178	
r	17498	
x	14734	
õ	7712	
ã	6309	
ĩ	3105	only_lower
l	2281	
é	1266	
h	1010	
f	546	
g	534	
v	458	
0	411	
á	404	
z	259	
1	233	
q	176	
ó	169	only_lower
í	142	only_lower
2	121	
ô	102	only_lower
7	92	
ê	62	
4	58	
5	52	
ú	40	only_lower
6	28	
â	25	only_lower
3	18	
8	14	
9	9	
ç	4	only_lower
m̃	1	only_lower
